frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,,,,,bin_2059,0.23700000000000002,,False,False
3,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,,bin_2059,0.24050000000000002,0.003500000000000003,False,False
4,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.24400000000000002,0.003500000000000003,False,False
5,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2475,0.0034999999999999754,False,False
6,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.251,0.003500000000000003,False,False
7,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2545,0.003500000000000003,False,False
8,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.258,0.003500000000000003,False,False
9,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2615,0.003500000000000003,False,False
10,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.265,0.003500000000000003,False,False
11,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2685,0.003500000000000003,False,False
12,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.272,0.003500000000000003,False,False
13,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2755,0.003500000000000003,False,False
14,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.279,0.003500000000000003,False,False
15,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.28250000000000003,0.003500000000000003,False,False
16,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.28600000000000003,0.003500000000000003,False,False
17,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.28950000000000004,0.003500000000000003,False,False
18,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.29300000000000004,0.003500000000000003,False,False
19,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.2965,0.0034999999999999476,False,False
20,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.30000000000000004,0.0035000000000000586,False,False
21,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.3035,0.0034999999999999476,False,False
22,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.30700000000000005,0.0035000000000000586,False,False
23,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.3105,0.0034999999999999476,False,False
24,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.31400000000000006,0.0035000000000000586,False,False
25,,416.0,196.0,manual,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.3175,0.0034999999999999476,False,False
26,,416.0,196.0,62,416.0,196.0,558,227,False,5.8,59.6415770609319,25.90308370044053,0.0,0.0,0.0,0.0,bin_2059,0.321,0.003500000000000003,False,False
27,,415.0,197.0,62,415.16666666699996,196.83333333299998,558,227,False,5.8,59.52210274795698,26.01321585898678,0.3249812536555679,0.05603125063027033,137.32994712419085,137.32994712419085,bin_2139,0.40525,0.08424999999999999,False,True
28,,416.0,197.0,62,415.968944099,196.99378882,558,227,False,5.8,59.63712460200716,26.034421429955945,0.23392052624145773,0.04033112521404444,10.445826654080708,-126.88412047011015,bin_2139,0.4076666666666667,0.002416666666666678,False,True
29,,417.0,196.0,62,416.981127024,196.022085397,558,227,False,5.8,59.78224043354838,25.90600247537445,0.3875566150110373,0.06682010603638575,-41.506934038169874,-51.95276069225058,bin_2059,0.3315,-0.07616666666666666,False,True
30,,416.0,197.0,62,416.029296659,196.972754845,558,227,False,5.8,59.64577729878136,26.031641609471365,0.37098452348886074,0.06396284887738979,137.36479205918397,178.87172609735384,bin_2139,0.41250000000000003,0.08100000000000002,False,True
31,,416.0,197.0,62,415.99475855400004,197.00604749,558,227,False,5.8,59.640825599139795,26.0360415185022,0.013248174035677658,0.002284167937185803,138.37681573275526,1.0120236735712922,bin_2139,0.4149166666666667,0.002416666666666678,False,False
32,,417.0,197.0,62,416.979425661,197.00302991400002,558,227,False,5.8,59.78199651053764,26.0356427199119,0.28234294937336984,0.04867981885747756,-0.16185639869049093,-138.53867213144576,bin_2139,0.41733333333333333,0.0024166666666666226,False,True
33,,417.0,197.0,62,417.009278198,197.001166437,558,227,False,5.8,59.78627644415771,26.035396445418503,0.00857402657292173,0.0014782804436071948,-3.293262866246812,-3.131406467556321,bin_2139,0.41975,0.002416666666666678,False,False
