frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,,,,bin_2098,9.075,,False,True,False
3,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,,bin_2098,9.1575,0.08250000000000135,False,True,False
4,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.24,0.08249999999999957,False,True,False
5,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.3225,0.08249999999999957,False,True,False
6,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.405,0.08249999999999957,False,True,False
7,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.4875,0.08250000000000135,False,True,False
8,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.57,0.08249999999999957,False,True,False
9,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.6525,0.08249999999999957,False,True,False
10,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.735,0.08249999999999957,False,True,False
11,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.8175,0.08250000000000135,False,True,False
12,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.9,0.08249999999999957,False,True,False
13,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,9.9825,0.08249999999999957,False,True,False
14,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.065,0.08249999999999957,False,True,False
15,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.1475,0.08250000000000135,False,True,False
16,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.23,0.08249999999999957,False,True,False
17,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.3125,0.08249999999999957,False,True,False
18,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.395,0.08249999999999957,False,True,False
19,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.4775,0.08249999999999957,False,True,False
20,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.56,0.08250000000000135,False,True,False
21,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.6425,0.08249999999999957,False,True,False
22,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.725,0.08249999999999957,False,True,False
23,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.8075,0.08249999999999957,False,True,False
24,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.89,0.08250000000000135,False,True,False
25,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,10.9725,0.08249999999999957,False,True,False
26,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.055,0.08249999999999957,False,True,False
27,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.1375,0.08249999999999957,False,True,False
28,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.219999999999999,0.08249999999999957,False,True,False
29,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.3025,0.08250000000000135,False,True,False
30,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.385,0.08249999999999957,False,True,False
31,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.4675,0.08249999999999957,False,True,False
32,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.55,0.08250000000000135,False,True,False
33,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.6325,0.08249999999999957,False,True,False
34,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.715,0.08249999999999957,False,True,False
35,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.7975,0.08249999999999957,False,True,False
36,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.879999999999999,0.08249999999999957,False,True,False
37,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.9625,0.08250000000000135,False,True,False
38,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.045,0.08249999999999957,False,True,False
39,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.1275,0.08249999999999957,False,True,False
40,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.21,0.08250000000000135,False,True,False
41,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.2925,0.08249999999999957,False,True,False
42,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.375,0.08249999999999957,False,True,False
43,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.4575,0.08249999999999957,False,True,False
