frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,256.0,28.0,1,253.66666666700002,31.1666666667,553,221,False,36.69680530444847,4.230769230773755,,,,bin_356,2.4941666666666666,,False,True,False
3,269.0,16.0,1,268.428571429,16.565217391300003,553,221,False,38.8323430638698,2.248672044067874,5.827256911948075,-42.86590327633716,,bin_198,1.89025,-0.6039166666666667,True,True,False
4,273.0,17.0,1,272.963057154,16.9297282827,553,221,False,39.488326532224235,2.2981531605475114,1.3156940246765367,4.313676536278596,47.179579812615756,bin_199,1.7793333333333334,-0.11091666666666655,True,True,True
5,276.0,17.0,1,276.013162588,16.9780951514,553,221,False,39.92957144130199,2.3047187988325795,0.8825875081670366,0.8524871246828865,-3.4611894115957096,bin_199,1.8816666666666668,0.10233333333333339,False,True,False
6,278.0,18.0,1,278.02411453,17.9741258227,553,221,False,40.22048673128391,2.4399265822669682,0.6416006566284294,24.92744317094715,24.074956046264262,bin_200,1.697,-0.18466666666666676,False,True,False
7,279.0,18.0,1,279.027754905,18.0073546755,553,221,False,40.36567882893309,2.4444372862669685,0.29052429619805914,1.7794439696434223,-23.147999201303726,bin_200,1.7798333333333334,0.08283333333333331,False,True,False
8,279.0,18.0,1,279.029080705,18.0035547432,553,221,False,40.36587062640145,2.4439214583529414,0.001100662901635543,-69.60363133635548,-71.3830753059989,bin_200,1.8626666666666667,0.08283333333333331,False,True,True
9,279.0,18.0,1,279.011735459,18.001363841,553,221,False,40.3633613683906,2.4436240508144795,0.005053643045948584,-173.24060370908686,-103.63697237273138,bin_200,1.9455,0.08283333333333331,False,True,True
10,279.0,17.0,1,279.004416895,17.018346543499998,553,221,False,40.36230262495479,2.310182788710407,0.2668909243087195,-90.45458396191236,82.78601974717449,bin_200,2.0283333333333333,0.08283333333333331,False,True,True
11,279.0,18.0,1,279.001648298,17.9720190251,553,221,False,40.36190210459313,2.439640591642534,0.25891684500297407,90.17726280374777,-179.36815323433987,bin_200,2.1111666666666666,0.08283333333333331,False,True,True
12,279.0,18.0,1,279.000614444,18.0057411224,553,221,False,40.36175254162748,2.444218251909502,0.009160205805651044,91.8713226738113,1.6940598700635405,bin_200,2.194,0.08283333333333331,False,True,False
13,279.0,18.0,1,279.000229017,18.0029136242,553,221,False,40.3616967836528,2.4438344286244345,0.0007757042371940764,-98.26553298966908,169.8631443365196,bin_200,2.2768333333333333,0.08283333333333331,False,True,True
14,279.0,18.0,1,279.000085359,18.0011229836,553,221,False,40.361676001301994,2.443591355239819,0.0004879203886438202,-94.8868049920125,3.3787279976565827,bin_200,2.3596666666666666,0.08283333333333331,False,True,False
15,279.0,18.0,1,279.000031814,18.0004203254,553,221,False,40.361668255189876,2.4434959717737557,0.00019139496180613875,-94.64281405351635,0.24399093849615383,bin_200,2.4425,0.08283333333333331,False,True,False
16,279.0,18.0,1,279.000011858,18.0001567465,553,221,False,40.36166536824593,2.443460191832579,7.179244071473429e-05,-94.61297982449263,0.029834229023720127,bin_200,2.525333333333333,0.08283333333333331,False,True,False
17,279.0,18.0,1,279.00000442,18.0000584259,553,221,False,40.36166429222423,2.443446845144796,2.677998487435143e-05,-94.60926701531447,0.003712809178153975,bin_200,2.6081666666666665,0.08283333333333331,False,True,False
18,279.0,18.0,1,279.00000164700003,18.0000217764,553,221,False,40.36166389106691,2.4434418700995475,9.982384970246438e-06,-94.6100085076862,-0.000741492371730601,bin_200,2.691,0.08283333333333331,False,True,False
19,279.0,18.0,1,279.000000614,18.0000081164,553,221,False,40.36166374162748,2.443440015800905,3.7206212380349365e-06,-94.60755533169146,0.0024531759947450382,bin_200,2.773833333333333,0.08283333333333331,False,True,False
20,279.0,18.0,1,279.000000229,18.0000030251,553,221,False,40.36166368593129,2.443439324674208,1.3867345479831857e-06,-94.60736839293672,0.00018693875473729804,bin_200,2.8566666666666665,0.08283333333333331,False,True,False
21,279.0,18.0,1,279.000000085,18.0000011275,553,221,False,40.36166366509946,2.4434390670814476,5.168674706277678e-07,-94.62351610803232,-0.01614771509559887,bin_200,2.9395000000000002,0.08283333333333376,False,True,False
22,279.0,18.0,1,279.000000032,18.0000004202,553,221,False,40.36166365743219,2.443438971067873,1.9263845465688171e-07,-94.56572759282504,0.057788515207278124,bin_200,3.0223333333333335,0.08283333333333331,False,True,False
23,279.0,18.0,1,279.000000012,18.000000156600002,553,221,False,40.36166365453887,2.4434389352850685,7.179917431747588e-08,-94.62274888104288,-0.05702128821783958,bin_200,3.105166666666667,0.08283333333333331,False,True,False
24,279.0,18.0,1,279.000000004,18.000000058399998,553,221,False,40.361663653381555,2.4434389219547508,2.6760923414106966e-08,-94.9618902407182,-0.3391413596753239,bin_200,3.188,0.08283333333333331,False,True,False
25,279.0,18.0,1,279.00000000200004,18.000000021800002,553,221,False,40.36166365309223,2.4434389169864255,9.953484983225464e-09,-93.33280349572959,1.6290867449886122,bin_200,3.270833333333334,0.08283333333333376,False,True,False
26,279.0,18.0,1,279.000000001,18.0000000081,553,221,False,40.361663652947556,2.4434389151266966,3.730695226999028e-09,-94.44824328171397,-1.1154397859843783,bin_200,3.3536666666666672,0.08283333333333331,False,True,False
27,279.0,18.0,1,279.0,18.000000003,553,221,False,40.361663652802896,2.443438914434389,1.4145191084926149e-09,-101.8022849360512,-7.354041654337223,bin_200,3.4365000000000006,0.08283333333333331,False,True,False
28,279.0,18.0,1,279.0,18.0000000011,553,221,False,40.361663652802896,2.4434389141764705,5.158371507718584e-10,-90.0,11.802284936051194,bin_200,3.519333333333334,0.08283333333333331,False,True,False
29,279.0,17.0,1,279.0,17.017836327999998,553,221,False,40.361663652802896,2.3101135286877827,0.26665077097737555,-90.0,0.0,bin_200,3.602166666666667,0.08283333333333331,False,True,False
30,280.0,17.0,1,279.982163672,16.989665104500002,553,221,False,40.50374881330922,2.3062893807013576,0.28427322732843185,-1.5417138262943084,88.45828617370569,bin_200,3.6850000000000005,0.08283333333333331,False,True,True
31,279.0,18.0,1,279.028171223,17.9774989864,553,221,False,40.365739055768536,2.4403844777918553,0.3848541970156962,135.82423391506603,137.36594774136034,bin_200,3.767833333333334,0.08283333333333331,False,True,True
