frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
1,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,,,,,bin_123,1.7845,,False,False
2,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,,bin_123,1.799,0.014499999999999957,False,False
3,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.8135000000000001,0.01450000000000018,False,False
4,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.828,0.014499999999999957,False,False
5,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.8425,0.014499999999999957,False,False
6,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.857,0.014499999999999957,False,False
7,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.8715,0.014499999999999957,False,False
8,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.886,0.014499999999999957,False,False
9,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.9005,0.01450000000000018,False,False
10,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.915,0.014499999999999957,False,False
11,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.9295,0.014499999999999957,False,False
12,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,1.944,0.014499999999999957,False,False
