frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,,,,bin_1582,0.18366666666666667,,False,False,False
3,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,,bin_1582,0.1855,0.0018333333333333257,False,False,False
4,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.18733333333333332,0.0018333333333333257,False,False,False
5,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.18916666666666665,0.0018333333333333257,False,False,False
6,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.191,0.0018333333333333535,False,False,False
7,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.19283333333333333,0.0018333333333333257,False,False,False
8,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.19466666666666665,0.0018333333333333257,False,False,False
9,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.1965,0.0018333333333333535,False,False,False
10,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.19833333333333333,0.0018333333333333257,False,False,False
11,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.20016666666666666,0.0018333333333333257,False,False,False
12,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.20199999999999999,0.0018333333333333257,False,False,False
13,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.20383333333333334,0.0018333333333333535,False,False,False
14,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.20566666666666666,0.0018333333333333257,False,False,False
15,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2075,0.0018333333333333257,False,False,False
16,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.20933333333333332,0.0018333333333333257,False,False,False
17,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.21116666666666667,0.0018333333333333535,False,False,False
18,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.213,0.0018333333333333257,False,False,False
19,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.21483333333333332,0.0018333333333333257,False,False,False
20,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.21666666666666667,0.0018333333333333535,False,False,False
21,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2185,0.0018333333333333257,False,False,False
