frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,507.0,91.0,0,507.0,91.0,558,228,False,72.68817204301075,11.973684210526315,,,,bin_952,0.14183333333333334,,False,True,False
3,507.0,91.0,0,507.0,91.0,558,228,False,72.68817204301075,11.973684210526315,0.0,0.0,,bin_952,0.14275000000000002,0.0009166666666666767,False,True,False
4,499.0,90.0,0,499.258064516,90.03225806450001,558,228,False,71.57821713491039,11.846349745328949,2.234469927336848,-173.4556152005221,-173.4556152005221,bin_951,0.026000000000000002,-0.11675000000000002,True,True,True
5,504.0,85.0,0,503.870229008,85.10478834140001,558,228,False,72.23945935598567,11.197998465973685,1.852134613222465,-44.436029042223744,129.01958615829835,bin_952,0.14458333333333334,0.11858333333333335,True,True,True
6,505.0,87.0,0,505.013596514,86.9153754014,558,228,False,72.40338301275986,11.436233605447368,0.5783664821902015,55.469109675344136,99.90513871756788,bin_952,0.14550000000000002,0.0009166666666666767,False,True,True
7,505.0,86.0,0,505.025956856,86.0162320213,558,228,False,72.40515510480287,11.317925265960525,0.23664322092418355,-89.14185421624185,-144.61096389158598,bin_952,0.14641666666666667,0.000916666666666649,False,True,True
8,505.0,86.0,0,505.01067518300005,85.99049116129999,558,228,False,72.40296418394266,11.314538310697365,0.008067614311647285,-122.89762956546915,-33.75577534922729,bin_952,0.14733333333333334,0.0009166666666666767,False,True,True
9,506.0,86.0,0,505.986188976,85.9957112634,558,228,False,72.54282279225806,11.315225166236843,0.2797205898067184,0.2813813725048758,123.17901093797403,bin_952,0.14825000000000002,0.0009166666666666767,False,True,True
10,509.0,86.0,0,508.95832802300004,85.9983658853,558,228,False,72.96893591727599,11.315574458592106,0.8522265363568242,0.046966338550256066,-0.23441503395461977,bin_952,0.14916666666666667,0.000916666666666649,False,True,False
11,515.0,88.0,0,514.929211268,87.9637165251,558,228,False,73.82497652587814,11.574173226986842,1.788495285530522,16.80888592517309,16.761919586622835,bin_953,0.13733333333333334,-0.011833333333333335,True,True,False
12,520.0,91.0,0,519.988807958,90.966933058,558,228,False,74.55036673232976,11.969333297105262,1.6520804249574779,28.57956793716594,11.77068201199285,bin_954,0.156,0.018666666666666665,True,True,False
13,525.0,96.0,0,524.9965555690001,95.9510675296,558,228,False,75.26832337906811,12.625140464421051,1.9447825454775414,42.409688285260124,13.830120348094184,bin_1035,0.2695,0.11350000000000002,True,True,False
14,528.0,105.0,0,528.034423654,104.90866493200001,558,228,False,75.70386002207884,13.803771701578949,2.5130569118978725,69.71934278756972,27.30965450230959,bin_1115,0.2445,-0.025000000000000022,True,True,False
