frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,,,,bin_235,0.444,,False,True,False
3,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,,bin_235,0.446,0.002,False,True,False
4,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.448,0.002,False,True,False
5,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.45,0.002,False,True,False
6,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.452,0.002,False,True,False
7,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.454,0.002,False,True,False
8,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.456,0.002,False,True,False
9,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.458,0.002,False,True,False
10,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.46,0.002,False,True,False
11,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.462,0.002,False,True,False
12,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.464,0.002,False,True,False
13,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.466,0.002,False,True,False
14,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.468,0.002,False,True,False
15,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.47000000000000003,0.002,False,True,False
16,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.47200000000000003,0.002,False,True,False
17,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.47400000000000003,0.002,False,True,False
18,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.47600000000000003,0.002,False,True,False
19,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.478,0.002,False,True,False
20,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.48,0.002,False,True,False
21,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.482,0.002,False,True,False
22,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.484,0.002,False,True,False
23,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.486,0.002,False,True,False
24,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.488,0.002,False,True,False
25,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.49,0.002,False,True,False
26,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.492,0.002,False,True,False
27,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.494,0.002,False,True,False
28,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.496,0.002,False,True,False
29,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.498,0.002,False,True,False
30,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.5,0.002,False,True,False
31,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.502,0.002,False,True,False
32,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.504,0.002,False,True,False
33,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.506,0.002,False,True,False
34,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.508,0.002,False,True,False
35,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.51,0.002,False,True,False
36,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.512,0.002,False,True,False
37,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.514,0.002,False,True,False
38,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.516,0.002,False,True,False
39,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.518,0.002,False,True,False
40,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.52,0.002,False,True,False
41,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.522,0.002,False,True,False
42,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.524,0.002,False,True,False
43,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.526,0.002,False,True,False
44,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.528,0.002,False,True,False
45,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.53,0.002,False,True,False
46,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.532,0.002,False,True,False
47,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.534,0.002,False,True,False
48,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.536,0.002,False,True,False
49,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.538,0.002,False,True,False
50,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.54,0.002,False,True,False
51,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.542,0.002,False,True,False
52,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.544,0.002,False,True,False
53,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.546,0.002,False,True,False
54,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.548,0.002,False,True,False
55,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.55,0.002,False,True,False
56,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.552,0.002,False,True,False
57,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.554,0.002,False,True,False
58,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.556,0.002,False,True,False
59,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.558,0.002,False,True,False
60,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.56,0.002,False,True,False
61,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.562,0.002,False,True,False
62,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.5640000000000001,0.002,False,True,False
63,,514.0,21.0,manual,514.0,21.0,543,214,False,75.72744014732965,2.94392523364486,0.0,0.0,0.0,bin_235,0.5660000000000001,0.002,False,True,False
