frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,27.0,176.0,0,32.0,169.5,541,205,False,5.2,4.7319778188539745,24.804878048780488,,,,,bin_1924,6.9623333333333335,,False,False
3,28.0,181.0,0,28.149068323,180.57142857099998,541,205,False,5.2,4.162523966432532,26.425087107951217,3.434737303175614,0.6605264044568488,109.36501274523495,,bin_2084,7.217,0.25466666666666615,True,False
4,27.0,181.0,0,27.0087003079,181.036942846,541,205,False,5.2,3.993892836658041,26.493211148195122,0.3637435513554825,0.06995068295297739,158.00214942818008,48.637136682945126,bin_2083,6.747333333333333,-0.4696666666666669,False,True
5,26.0,179.0,0,26.0009617963,179.060347181,541,205,False,5.2,3.8448742027800367,26.203953246,0.6507739614495621,0.12514883874030042,-117.25642213163704,84.74142844018286,bin_2083,6.7941666666666665,0.046833333333333727,False,True
6,27.0,178.0,0,26.9644250496,178.006829566,541,205,False,5.2,3.987345663526802,26.049779936487806,0.4198453357762132,0.08073948764927176,-47.258995164692706,69.99742696694433,bin_2083,6.840999999999999,0.04683333333333284,False,True
7,26.0,177.0,0,26.0207131209,177.00179562099999,541,205,False,5.2,3.847794916214418,25.90270179819512,0.40549421618112785,0.0779796569579092,-133.4956553715121,-86.2366602068194,bin_2003,7.285666666666667,0.44466666666666743,False,True
8,27.0,177.0,0,26.9736704558,176.98279558299998,541,205,False,5.2,3.988712821560074,25.899921304829263,0.28189066809928115,0.05420974386524637,-1.1303734950111204,132.36528187650097,bin_2003,7.3293333333333335,0.04366666666666674,False,True
9,26.0,177.0,0,26.0242301605,176.99273228799998,541,205,False,5.2,3.848314996007394,25.901375456780485,0.28081071188840295,0.054002059978539026,179.40658774330242,-179.46303876168645,bin_2003,7.373,0.04366666666666674,False,True
10,26.0,177.0,0,25.9928237593,176.997250279,541,205,False,5.2,3.8436707961996306,25.902036626195123,0.009382054540298411,0.0018042412577496942,171.8975585865286,-7.509029156773835,bin_2003,7.416666666666667,0.04366666666666674,False,False
11,27.0,177.0,0,26.9787133765,176.998973178,541,205,False,5.2,3.9894585399630316,25.902288757756097,0.2915759235735838,0.05607229299491996,0.09908967345490194,-171.7984689130737,bin_2003,7.460333333333334,0.04366666666666674,False,True
12,26.0,177.0,0,26.0268481296,176.99961719400002,541,205,False,5.2,3.8487021263733827,25.902383004,0.28151289028372944,0.05413709428533258,179.9616364820189,179.862546808564,bin_2003,7.5040000000000004,0.04366666666666674,False,True
13,26.0,177.0,0,25.993834876999998,176.99985731799998,541,205,False,5.2,3.84382031452865,25.902418144097556,0.009763876630484579,0.001877668582785496,179.58758252607188,-0.3740539559470051,bin_2003,7.547666666666667,0.04366666666666674,False,False
14,26.0,177.0,0,25.9969282595,176.99994682,541,205,False,5.2,3.844277746321626,25.90243124195122,0.00091523854594574,0.00017600741268187307,1.6401281148303026,-177.94745441124158,bin_2003,7.591333333333334,0.04366666666666674,False,True
15,26.0,177.0,0,25.998818079899998,176.999980179,541,205,False,5.2,3.8445572022033265,25.9024361237561,0.0005589970369717041,0.00010749943018686617,1.0007961447767004,-0.6393319700536022,bin_2003,7.635000000000001,0.04366666666666674,False,False
16,26.0,177.0,0,25.9995577079,176.999992612,541,205,False,5.2,3.844666574181146,25.902437943219514,0.00021877422132628217,4.207196563966965e-05,0.9530591081032813,-0.04773703667341911,bin_2003,7.678666666666667,0.04366666666666674,False,False
17,26.0,177.0,0,25.9998350662,176.999997247,541,205,False,5.2,3.8447075883475046,25.902438621512196,8.203954956149049e-05,1.5776836454132787e-05,0.947471785928796,-0.005587322174485321,bin_2003,7.722333333333333,0.043666666666665854,False,False
18,26.0,177.0,0,25.9999385226,176.99999897400002,541,205,False,5.2,3.844722886890943,25.902438874243906,3.0601261715830635e-05,5.884858022275122e-06,0.9464393313808446,-0.0010324545479514224,bin_2003,7.766,0.04366666666666674,False,False
19,27.0,177.0,0,26.9821407586,176.99999961700001,541,205,False,5.2,3.9899653617153423,25.902438968341468,0.29048494964885985,0.05586249031708843,3.7119948257798e-05,-0.9464022114325867,bin_2003,7.809666666666667,0.04366666666666674,False,False
20,26.0,177.0,0,26.0281626829,176.999999857,541,205,False,5.2,3.848896515031423,25.902439003463414,0.2821376933678471,0.05425724872458598,179.99998573505536,179.99994861510712,bin_2003,7.8533333333333335,0.04366666666666674,False,True
21,27.0,177.0,0,26.9764902797,176.99999994700002,541,205,False,5.2,3.9891298010646947,25.902439016634148,0.28046657206654435,0.05393587924356622,5.381229259397962e-06,-179.9999803538261,bin_2003,7.897,0.04366666666666674,False,True
22,26.0,177.0,0,26.025282843200003,176.99999998,541,205,False,5.2,3.848470660731978,25.902439021463415,0.2813182806654339,0.054099669358737286,179.99999803285692,179.99999265162765,bin_2003,7.940666666666667,0.04366666666666674,False,True
23,26.0,177.0,0,25.993216215700002,176.999999993,541,205,False,5.2,3.843728830417745,25.90243902336585,0.009483660628466825,0.001823780890089774,179.9999770127735,-2.1020083408984647e-05,bin_2003,7.984333333333334,0.04366666666666674,False,False
24,27.0,177.0,0,26.978859660300003,176.999999997,541,205,False,5.2,3.989480171578559,25.90243902395122,0.291502682321628,0.056058208138774615,2.301126613156816e-07,-179.99997678266087,bin_2003,8.028,0.04366666666666674,False,True
25,27.0,177.0,0,27.009066323600003,176.999999999,541,205,False,5.2,3.9939469609759706,25.902439024243904,0.008933578794823501,0.0017179959220814426,3.754265364377724e-06,3.5241527030620423e-06,bin_2003,8.071666666666667,0.04366666666666674,False,False
26,28.0,176.0,0,27.986353766,176.017836327,541,205,False,5.2,4.138462664103512,25.75870775517073,0.4076442868964717,0.07839313209547533,-44.8440759001722,-44.844079654437564,bin_2004,8.149,0.07733333333333192,False,True
27,31.0,174.0,0,30.958426432399996,174.02533775900002,541,205,False,5.2,4.5779558495231045,25.46712259887805,1.0548481661366937,0.2028554165647488,-33.56259273164502,11.281483168527181,bin_2004,8.1805,0.031500000000001194,True,False
28,33.0,172.0,0,33.0005951131,172.01033817799998,541,205,False,5.2,4.879940127630314,25.17224461141463,0.8441505356615221,0.16233664147336963,-44.31786402320138,-10.755271291556362,bin_2004,8.212,0.03149999999999942,False,False
29,35.0,170.0,0,35.0009918067,170.003895999,541,205,False,5.2,5.175747402099815,24.878618926682925,0.8335897944750459,0.1603057297067396,-44.78793972766442,-0.47007570446304214,bin_1925,7.437166666666666,-0.7748333333333335,False,False
30,37.0,168.0,0,37.00040651,168.001454147,541,205,False,5.2,5.47140946543438,24.585578655658537,0.8325590817168458,0.16010751571477802,-44.74483430377162,0.04310542389280414,bin_1925,7.465,0.0278333333333336,False,False
31,36.0,167.0,0,36.0536622587,166.982705753,541,205,False,5.2,5.331410315519409,24.436493524829267,0.4090287921958324,0.07865938311458315,-133.19977400087106,-88.45493969709943,bin_1925,7.4928333333333335,0.0278333333333336,False,True
