frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,351.0,35.0,591,350.5,35.1666666667,576,236,False,4.6,48.68055555555556,4.470338983055084,,,,,bin_368,1.1013333333333335,,False,False
3,,354.0,34.0,591,353.86956521699994,34.0434782609,576,236,False,4.6,49.14855072458332,4.327560795877119,0.9785807865825971,0.21273495360491243,-16.96614811043487,,bin_369,1.057,-0.04433333333333356,False,False
4,,357.0,34.0,591,356.946593495,33.996252175100004,576,236,False,4.6,49.575915763194445,4.321557479885594,0.8548144033180054,0.18582921811260988,-0.8047968752828925,16.161351235151976,bin_369,1.0626666666666666,0.005666666666666709,False,False
5,,361.0,35.0,591,360.96129938400003,34.9792291363,576,236,False,4.6,50.13351380333334,4.44651217834322,1.1428547607344854,0.2484466871161925,12.630996880136102,13.435793755418995,bin_370,0.9845833333333333,-0.0780833333333334,True,False
6,,364.0,36.0,591,364.0025775,35.9913235912,576,236,False,4.6,50.55591354166666,4.575168253118645,0.8831170353258542,0.19198196420127267,16.939881081106453,4.3088842009703505,bin_370,0.9894999999999999,0.00491666666666668,False,False
7,,374.0,11.0,591,373.87684688900003,11.4607392953,576,236,False,4.6,51.92733984569445,1.456873639233051,6.813096625284927,1.4811079620184624,-66.26010158970394,-83.19998267081039,bin_131,1.1672500000000001,0.17775000000000019,True,True
8,,375.0,12.0,591,375.10869879800003,11.7301484552,576,236,False,4.6,52.09843038861111,1.491120566338983,0.3489689149005595,0.07586280758707815,11.319211896113412,77.57931348581735,bin_132,1.116,-0.05125000000000002,False,True
9,,377.0,13.0,591,377.030075688,12.8782901953,576,236,False,4.6,52.36528829,1.6370707875381356,0.6083242773447841,0.13224440811843133,28.67518039620941,17.355968500095997,bin_132,1.123,0.006999999999999895,False,False
10,,377.0,14.0,591,377.04638287,13.9536256086,576,236,False,4.6,52.36755317638889,1.7737659671949153,0.27342788337515134,0.059440844211989426,89.05075981154458,60.37557941533517,bin_132,1.1300000000000001,0.007000000000000117,False,True
11,,378.0,14.0,591,378.00113449300005,14.0005034894,576,236,False,4.6,52.50015756847223,1.7797250198389831,0.265476440447796,0.057712269662564354,2.573059636762412,-86.47770017478217,bin_132,1.137,0.006999999999999895,False,True
12,,377.0,14.0,591,377.03532249,14.001038901600001,576,236,False,4.6,52.3660170125,1.7797930807118645,0.2682811464775078,0.05832198836467561,179.97092899754904,177.39786936078661,bin_132,1.1440000000000001,0.007000000000000117,False,True
13,,377.0,15.0,591,376.99699903199996,14.9825916232,576,236,False,4.6,52.36069431,1.9045667317627117,0.24977425935001496,0.054298752032611954,92.44269199734033,-87.5282370002087,bin_132,1.151,0.006999999999999895,False,True
14,,378.0,14.0,591,377.98027153099997,14.028332676500002,576,236,False,4.6,52.497259934861106,1.7832626283686441,0.36532098430800813,0.0794176052843496,-41.61301080434312,-134.05570280168345,bin_132,1.158,0.006999999999999895,False,True
15,,378.0,14.0,591,378.009592643,13.9943900599,576,236,False,4.6,52.501332311527776,1.778947888970339,0.011866124521599533,0.0025795922873042467,-46.65521715061731,-5.042206346274192,bin_132,1.165,0.007000000000000117,False,False
16,,378.0,14.0,591,378.004386265,13.997135274200001,576,236,False,4.6,52.50060920347222,1.7792968568898309,0.0016058192536394593,0.00034909114209553466,154.2383022572863,-159.10648059209637,bin_132,1.172,0.006999999999999895,False,True
17,,378.0,14.0,591,378.00167363599996,13.998895241800001,576,236,False,4.6,52.50023244944444,1.779520581584746,0.0008763477313621696,0.00019051037638308035,149.2972427271456,-4.941059530140706,bin_132,1.179,0.007000000000000117,False,False
18,,378.0,14.0,591,378.000625647,13.9995864675,576,236,False,4.6,52.50008689541667,1.7796084492584747,0.00034003942763071636,7.392161470232965e-05,148.88156963921006,-0.415673087935545,bin_132,1.186,0.006999999999999895,False,False
19,,377.0,14.0,591,377.018069605,13.9998457853,576,236,False,4.6,52.36362077847222,1.7796414133855931,0.2729322418515718,0.05933309605468952,179.9861598954761,31.10459025626605,bin_132,1.193,0.007000000000000117,False,True
20,,378.0,13.0,591,377.97191572699995,13.017778845399999,576,236,False,4.6,52.49609940652777,1.6548023956016948,0.364062452075078,0.07914401132066913,-43.299421394480156,136.71441871004373,bin_132,1.2,0.006999999999999895,False,True
21,,378.0,14.0,591,378.005702617,13.9718073521,576,236,False,4.6,52.50079203013889,1.776077205775424,0.2427311294336157,0.05276763683339472,87.7840949678481,131.08351636232825,bin_132,1.207,0.007000000000000117,False,True
22,,378.0,14.0,591,378.002899273,14.0056622242,576,236,False,4.6,52.50040267680556,1.7803807912118645,0.008642324600920947,0.0018787662175915102,95.16958117961478,7.3854862117666755,bin_132,1.214,0.006999999999999895,False,False
23,,378.0,13.0,591,378.001117635,13.020720545,576,236,False,4.6,52.50015522708333,1.6551763404661017,0.2504093905420735,0.054436824030885546,-90.11323723862118,174.71718158176404,bin_132,1.221,0.007000000000000117,False,True
24,,378.0,14.0,591,378.000418332,13.9729408,576,236,False,4.6,52.50005810166667,1.7762212881355932,0.24208997327156276,0.052628255059035386,90.0459736269151,-179.8407891344637,bin_132,1.228,0.006999999999999895,False,True
25,,378.0,14.0,591,378.00015600300003,14.0060864498,576,236,False,4.6,52.50002166708334,1.7804347181949152,0.008427175171707341,0.0018319946025450744,90.49543858422491,0.4494649573098144,bin_132,1.235,0.007000000000000117,False,False
