frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,,,,,bin_2147,0.135,,False,False
3,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,,bin_2147,0.1375,0.0025000000000000022,False,False
4,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.14,0.0025000000000000022,False,False
5,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.14250000000000002,0.0025000000000000022,False,False
6,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.14500000000000002,0.0025000000000000022,False,False
7,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.14750000000000002,0.0025000000000000022,False,False
8,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.15,0.0024999999999999745,False,False
9,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1525,0.0025000000000000022,False,False
10,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.155,0.0025000000000000022,False,False
11,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1575,0.0025000000000000022,False,False
12,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.16,0.0025000000000000022,False,False
13,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1625,0.0025000000000000022,False,False
14,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.165,0.0025000000000000022,False,False
15,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1675,0.0025000000000000022,False,False
16,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.17,0.0025000000000000022,False,False
17,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.17250000000000001,0.0025000000000000022,False,False
18,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.175,0.0024999999999999745,False,False
19,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1775,0.0025000000000000022,False,False
20,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.18,0.0025000000000000022,False,False
21,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1825,0.0025000000000000022,False,False
22,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.185,0.0025000000000000022,False,False
23,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1875,0.0025000000000000022,False,False
24,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.19,0.0025000000000000022,False,False
25,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1925,0.0025000000000000022,False,False
26,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.195,0.0025000000000000022,False,False
27,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.1975,0.0025000000000000022,False,False
28,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.2,0.0025000000000000022,False,False
29,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.2025,0.0025000000000000022,False,False
30,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.20500000000000002,0.0025000000000000022,False,False
31,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.20750000000000002,0.0025000000000000022,False,False
32,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.21000000000000002,0.0025000000000000022,False,False
33,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.21250000000000002,0.0025000000000000022,False,False
34,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.21500000000000002,0.0025000000000000022,False,False
35,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.21750000000000003,0.0025000000000000022,False,False
36,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.22,0.0024999999999999745,False,False
37,470.0,194.0,manual,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.2225,0.0025000000000000022,False,False
38,470.0,194.0,0,470.0,194.0,555,218,False,5.1,67.74774774774775,26.69724770642202,0.0,0.0,0.0,0.0,bin_2147,0.225,0.0025000000000000022,False,False
39,461.0,203.0,0,462.5,201.5,555,218,False,5.1,66.66666666666667,27.729357798165136,2.989305969852818,0.5861384254613369,136.32753199606609,136.32753199606609,bin_2226,0.54375,0.31875,True,True
40,451.0,206.0,0,451.428571429,205.832298137,555,218,False,5.1,65.07078507084685,28.325545615183486,3.407214687123497,0.6680813112006857,159.51536871969975,23.187836723633666,bin_2305,0.7766666666666666,0.23291666666666666,True,False
41,456.0,204.0,0,455.85530718800004,204.057555883,555,218,False,5.1,65.70887310818019,28.08131502977064,1.3664624725750891,0.26793381815197825,-20.94453435268998,179.54009692761028,bin_2305,0.7803333333333333,0.003666666666666707,True,True
42,459.0,203.0,0,458.967323525,203.009189951,555,218,False,5.1,66.15745203963965,27.937044488669727,0.9424161432803788,0.1847874790745841,-17.828665570707592,3.115868781982389,bin_2226,0.5525,-0.22783333333333333,False,False
43,459.0,202.0,0,459.042572475,202.00283758900002,555,218,False,5.1,66.16829873513514,27.798555631513764,0.2778259481008677,0.05447567609820936,-85.52163414800607,-67.69296857729847,bin_2226,0.5554166666666667,0.0029166666666666785,False,True
44,459.0,200.0,0,459.018489856,200.01887637299998,555,218,False,5.1,66.16482736663063,27.525533445825687,0.5460885066623875,0.10707617777693873,-90.72845379627869,-5.206819648272614,bin_2226,0.5583333333333333,0.0029166666666666785,False,False
45,460.0,198.0,0,459.989179214,198.007888346,555,218,False,5.1,66.30474655336937,27.248791974220183,0.6202039049345297,0.1216086088106921,-63.17905369458787,27.549400101690814,bin_2226,0.56125,0.0029166666666666785,False,False
46,459.0,197.0,0,459.030792354,196.985144392,555,218,False,5.1,66.16660069967567,27.108047393394493,0.3944277572613789,0.0773387759336037,-134.4661280231558,-71.28707432856791,bin_2226,0.5641666666666667,0.0029166666666666785,False,True
47,455.0,199.0,0,455.06665242800005,198.940102402,555,218,False,5.1,65.59519314277479,27.37707831220184,1.2631456469588245,0.24767561705074992,154.78793901740877,-70.74593295943544,bin_2225,0.5053333333333333,-0.058833333333333404,True,True
48,453.0,199.0,0,452.991810156,199.01074647299998,555,218,False,5.1,65.29611677924323,27.386799973348623,0.5984686522073198,0.11734679455045488,178.1382209897554,23.350281972346636,bin_2225,0.508,0.002666666666666706,False,False
49,449.0,200.0,0,449.031039415,199.987751674,555,218,False,5.1,64.72519487063063,27.521250230366977,1.1730791914379184,0.2300155277329252,166.74847936265667,-11.389741627098743,bin_2224,0.5429166666666667,0.03491666666666671,True,False
50,446.0,198.0,0,445.995364009,198.048166022,555,218,False,5.1,64.28762003733333,27.254334773669726,1.025115790062891,0.20100309609076297,-148.6173043815413,44.634216255802016,bin_2224,0.5458333333333334,0.0029166666666666785,True,True
51,442.0,198.0,0,442.01533293800003,197.98480301400002,555,218,False,5.1,63.71392186493694,27.245615093669727,1.1475288681863356,0.22500566042869327,-179.12922435377817,-30.511919972236882,bin_2223,0.569,0.023166666666666558,True,True
52,439.0,197.0,0,438.988694942,197.01058582,555,218,False,5.1,63.277649721369364,27.11154850733945,0.9128137440317234,0.17898308706504382,-162.91778806990988,16.211436283868295,bin_2223,0.5713333333333334,0.0023333333333334094,False,False
