frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
2,,469.0,170.0,21,469.0,170.0,551,214,False,68.09437386569873,23.83177570093458,,,,bin_1908,0.14283333333333334,,False,True,False
3,,471.0,169.0,21,470.66666666699996,169.16666666700002,551,214,False,68.3363581367695,23.71495327107477,0.5374155470918394,-25.769795568371702,,bin_1908,0.14425000000000002,0.0014166666666666772,False,True,False
4,,470.0,166.0,21,470.02484472,166.11801242200002,551,214,False,68.24317164718693,23.287571834859815,0.8748453894532018,-102.30029010544006,-76.53049453706835,bin_1908,0.14566666666666667,0.0014166666666666494,False,True,True
5,,472.0,164.0,21,471.954758399,164.032927319,551,214,False,68.5233769000363,22.995270184906545,0.8098277305446723,-46.21041229394337,56.089877811496685,bin_1828,0.12708333333333333,-0.01858333333333334,False,True,True
6,,475.0,161.0,21,474.961919263,161.03021663799998,551,214,False,68.95998827774955,22.57432943523364,1.212964319151801,-43.953112119557815,2.2573001743855556,bin_1828,0.1285,0.0014166666666666772,True,True,False
7,,476.0,160.0,21,476.02060418,159.976305984,551,214,False,69.11369933647913,22.426584951028033,0.4264060139770566,-43.866118350539615,0.08699376901819988,bin_1829,0.19525,0.06675,False,True,False
8,,478.0,154.0,21,477.99149923,154.078728874,551,214,False,69.39985469764065,21.599821804766357,1.7497682026348351,-70.90848105824003,-27.042362707700413,bin_1749,0.17800000000000002,-0.017249999999999988,True,True,False
9,,476.0,151.0,21,476.06740839800005,150.98002081,551,214,False,69.12049486722324,21.165423478037386,1.0329449571313492,-122.74490920902707,-51.83642815078704,bin_1749,0.17900000000000002,0.0010000000000000009,True,True,True
10,,475.0,149.0,21,475.010665131,148.97235654600001,551,214,False,68.96706571774953,20.883975216728974,0.641104134136582,-118.59663789218749,4.148271316839583,bin_1668,0.15166666666666667,-0.02733333333333335,False,True,False
11,,475.0,147.0,21,474.985446764,146.988730333,551,214,False,68.96340424885662,20.605896775654205,0.5562050907535,-90.75437200812685,27.842265884060637,bin_1668,0.15283333333333335,0.001166666666666677,False,True,False
12,,475.0,146.0,21,474.99368911199997,145.977917037,551,214,False,68.96460096,20.46419397714953,0.2834157033166443,-89.51613610661445,1.2382359015123967,bin_1668,0.15400000000000003,0.001166666666666677,False,True,False
13,,475.0,146.0,21,474.997605403,145.97307724,551,214,False,68.96516956849365,20.463515500934584,0.0017704751828834775,-50.03473895178132,39.48139715483313,bin_1668,0.15516666666666667,0.0011666666666666492,False,True,True
14,,476.0,147.0,21,475.981269139,146.971234635,551,214,False,69.10798825974591,20.603444107710278,0.3998859515671682,44.41437503507818,94.4491139868595,bin_1669,0.19866666666666666,0.04349999999999998,False,True,True
15,,476.0,145.0,21,476.010001392,145.041891324,551,214,False,69.11215991172413,20.332975419252335,0.5410017157695044,-89.11635205382848,-133.53072708890664,bin_1669,0.2,0.001333333333333353,False,True,True
16,,476.0,145.0,21,476.00454038,144.982458665,551,214,False,69.11136702431942,20.32464373808411,0.016738647678414664,-95.4362018151239,-6.319849761295416,bin_1669,0.20133333333333334,0.0013333333333333253,False,True,False
17,,476.0,146.0,21,476.001731161,145.97403911799998,551,214,False,69.11095915223231,20.463650343644858,0.2780144078939862,90.1681163424761,-174.3956818424,bin_1669,0.20266666666666666,0.0013333333333333253,False,True,True
18,,476.0,146.0,21,476.00064709199995,146.007230821,551,214,False,69.11080175564427,20.468303386121494,0.009311407621903522,91.93738246894165,1.7692661264655527,bin_1669,0.204,0.0013333333333333253,False,True,False
19,,476.0,146.0,21,476.00024127,146.00350411600002,551,214,False,69.11074283411978,20.467780950841124,0.001051494875355326,-96.43476647083344,171.6278510602249,bin_1669,0.20533333333333334,0.001333333333333353,False,True,True
20,,476.0,146.0,21,476.000089929,146.001344756,551,214,False,69.11072086083485,20.46747823682243,0.0006070209300007694,-94.15168181662503,2.283084654208409,bin_1669,0.20666666666666667,0.0013333333333333253,False,True,False
21,,477.0,146.0,21,476.982197191,146.000503064,551,214,False,69.25331356675136,20.46736024261682,0.2851855094721736,-0.047411741027734045,94.1042700755973,bin_1669,0.208,0.0013333333333333253,False,True,True
22,,477.0,146.0,21,477.010347388,146.000187588,551,214,False,69.25740070969147,20.467316017009345,0.008174764416723105,-0.6199542814583876,-0.5725425404306536,bin_1669,0.20933333333333332,0.0013333333333333253,False,True,False
