frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,251.0,65.0,348,251.66666666700002,65.3333333333,554,222,False,4.9,36.34175691942239,8.828828828824324,,,,,bin_676,2.8608333333333333,,False,False
3,,246.0,65.0,348,246.211180124,65.0124223602,554,222,False,4.9,35.55396102873647,8.785462481108109,1.5779771931125832,0.32203616185971085,-176.84917944116404,,bin_675,4.2095,1.348666666666667,True,False
4,,237.0,62.0,348,237.17574621900002,62.0635791728,554,222,False,4.9,34.24920523018051,8.386970158486486,2.728504223968711,0.5568375967283083,-163.0165292865851,13.832650154578943,bin_674,4.581,0.37150000000000016,True,False
5,,230.0,62.0,348,230.034130239,61.971687276000004,554,222,False,4.9,33.217924944259934,8.374552334594595,2.0627100915820713,0.42096124318001454,-179.3101249716238,-16.293595685038696,bin_673,5.33875,0.7577499999999997,True,False
6,,219.0,63.0,348,219.08286719400002,62.969030877899996,554,222,False,4.9,31.636515118267152,8.509328497013513,3.174285211951121,0.6478133085614532,175.1287199027114,-5.561155125664811,bin_671,7.6095,2.2707499999999996,True,False
7,,209.0,63.0,348,209.01639934099998,63.005326018199995,554,222,False,4.9,30.182873551046928,8.514233245702702,2.9072996835621696,0.5933264660330958,179.8066783866355,4.677958483924101,bin_670,9.480916666666666,1.8714166666666658,True,False
8,,200.0,65.0,348,199.98758122400002,64.9671168414,554,222,False,4.9,28.87907310093863,8.779340113702704,2.660960176450126,0.5430530972347195,168.50651270967558,-11.30016567695992,bin_668,12.059999999999999,2.579083333333333,True,False
9,,191.0,68.0,348,190.994484512,67.968238759,554,222,False,4.9,27.580430976462097,9.184897129594596,2.7209908934827842,0.5553042639760783,162.65677417592934,-5.849738533746233,bin_747,14.395000000000001,2.3350000000000026,True,False
10,,182.0,71.0,348,181.99790185400002,70.9872286731,554,222,False,4.9,26.28128546628159,9.59286873960811,2.7233948602427693,0.5557948694372998,162.56610884957064,-0.09066532635870317,bin_746,15.939166666666667,1.5441666666666656,True,False
11,,173.0,74.0,348,172.99921595799998,73.9951952614,554,222,False,4.9,24.98183623942238,9.999350710999998,2.7230834627323808,0.5557313189249756,162.629744768187,0.06363591861637019,bin_744,26.351166666666668,10.412,True,False
12,,165.0,79.0,348,164.98187135,78.9625344063,554,222,False,4.9,23.824096945848375,10.670612757608108,2.676529848218952,0.5462305812691738,149.89466429979757,-12.735080468389441,bin_823,30.423000000000002,4.071833333333334,True,False
13,,156.0,83.0,348,156.010225938,83.0021651057,554,222,False,4.9,22.52855248202166,11.216508798067569,2.8117168738984857,0.5738197701833644,157.15118479548116,7.2565204956835885,bin_902,30.909666666666666,0.4866666666666646,True,False
14,,148.0,88.0,348,147.98678774799998,87.98374250040001,554,222,False,4.9,21.36993324880866,11.889694932486488,2.679983656028496,0.5469354400058155,149.84236372909461,-7.3088210663865425,bin_901,38.03133333333333,7.121666666666663,True,False
15,,138.0,91.0,348,138.02993358,91.0287966141,554,222,False,4.9,19.93212037256318,12.301188731635136,2.991075401145942,0.6104235512542738,164.02918207420316,14.186818345108549,bin_979,35.05375,-2.977583333333328,True,False
16,,128.0,93.0,348,128.012824836,93.0302373061,554,222,False,4.9,18.485606474512633,12.571653690013514,2.9431641143259455,0.6006457376175398,169.40929050677695,5.380108432573792,bin_978,40.580666666666666,5.526916666666665,True,False
17,,119.0,93.0,348,118.987023514,93.04787594620001,554,222,False,4.9,17.18224166267148,12.574037290027027,2.606733982818153,0.5319865271057455,179.8952173118939,10.485926805116947,bin_977,47.638250000000006,7.057583333333341,True,False
18,,111.0,91.0,348,110.97647739799999,91.05526854,554,222,False,4.9,16.025484100794223,12.304766018918919,2.375369507596148,0.48476928726451995,-166.89598953575756,13.208793152348562,bin_976,46.039,-1.599250000000005,True,False
19,,106.0,85.0,348,105.936829559,85.093735693,554,222,False,4.9,15.297737120433215,11.499153472027025,2.1712920053592137,0.44312081742024767,-132.09295875299696,34.8030307827606,bin_895,53.982416666666666,7.943416666666664,True,True
20,,104.0,77.0,348,103.920342955,77.0741093282,554,222,False,4.9,15.006547719133573,10.415420179486487,2.244343215098795,0.45802922757118264,-105.03964890639483,27.053309846602133,bin_815,63.64666666666666,9.664249999999996,True,False
21,,104.0,69.0,348,103.93195267600001,69.0294962915,554,222,False,4.9,15.008224213140796,9.328310309662161,2.174222325063948,0.4437188418497853,-89.91164098725358,15.128007919141254,bin_735,71.649,8.00233333333334,True,False
22,,106.0,61.0,348,105.93712944100001,61.011083429799996,554,222,False,4.9,15.29778042469314,8.244741004027027,2.243180991149089,0.4577920390100182,-75.03875008032348,14.872890906930095,bin_655,78.60866666666666,6.959666666666664,True,False
23,,110.0,55.0,348,109.939099561,54.9684626021,554,222,False,4.9,15.875682247075813,7.428170621905405,2.000757561796497,0.4083178697543871,-54.712257830297474,20.326492250026007,bin_575,77.15475,-1.4539166666666574,True,False
24,,116.0,49.0,348,115.939835801,48.9865386153,554,222,False,4.9,16.742214556101082,6.619802515581081,2.3700947136408184,0.48369279870220777,-43.01109091419684,11.701166916100632,bin_496,83.152,5.997249999999994,True,False
25,,123.0,45.0,348,122.95794662899999,44.9592283958,554,222,False,4.9,17.755660163032488,6.075571404837837,2.3006603400844634,0.4695225183845843,-28.23627325713788,14.77481765705896,bin_497,81.61958333333332,-1.532416666666677,True,False
26,,131.0,42.0,348,130.965550377,41.9652564429,554,222,False,4.9,18.911992834223827,5.670980600391892,2.4501420085429464,0.5000289813352952,-19.28450043218751,8.951772824950371,bin_418,78.72016666666667,-2.899416666666653,True,False
27,,139.0,41.0,348,138.986261585,40.9504424477,554,222,False,4.9,20.07021827942238,5.533843574013513,2.33263177197713,0.47604730040349585,-6.752537362257807,12.531963069929702,bin_420,71.47399999999999,-7.2461666666666815,True,False
28,,149.0,41.0,348,148.959163828,40.961940928800004,554,222,False,4.9,21.510348567220216,5.535397422810812,2.880262252142163,0.5878086228861557,0.06182006190200831,6.814357424159815,bin_421,66.24366666666666,-5.230333333333334,True,False
29,,157.0,42.0,348,157.018743212,41.9670410772,554,222,False,4.9,22.674186745415163,5.67122176718919,2.3434739661877613,0.4782599930995431,6.656524361148434,6.594704299246426,bin_422,59.63725,-6.606416666666654,True,False
30,,166.0,46.0,348,165.99077488,45.9333083029,554,222,False,4.9,23.96978698628159,6.207203824716216,2.8041802724675526,0.5722816882586842,22.474586565461305,15.81806220431287,bin_503,55.61,-4.027250000000002,True,False
31,,173.0,50.0,348,173.031458533,49.9725393104,554,222,False,4.9,24.98649220693141,6.753045852756758,2.3079280970359606,0.4710057340889715,28.230169797164066,5.7555832317027615,bin_504,46.4475,-9.162500000000001,True,False
