frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,,,,,bin_1609,6.106999999999999,,False,False
3,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,,bin_1609,6.150499999999999,0.04349999999999987,False,False
4,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.194,0.04350000000000076,False,False
5,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.2375,0.04349999999999987,False,False
6,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.281,0.04349999999999987,False,False
7,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.3245,0.04349999999999987,False,False
8,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.367999999999999,0.04349999999999987,False,False
9,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.411499999999999,0.04349999999999987,False,False
10,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.455,0.04350000000000076,False,False
11,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.4985,0.04349999999999987,False,False
12,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.542,0.04349999999999987,False,False
13,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.5855,0.04349999999999987,False,False
14,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.629,0.04349999999999987,False,False
15,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.672499999999999,0.04349999999999987,False,False
16,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.715999999999999,0.04349999999999987,False,False
17,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.759499999999999,0.04349999999999987,False,False
18,,67.0,150.0,manual,67.0,150.0,550,219,False,5.0,9.745454545454546,20.54794520547945,0.0,0.0,0.0,0.0,bin_1609,6.803,0.04350000000000076,False,False
