frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,133,30,manual,133,30,566,231,False
3,,133,30,manual,133,30,566,231,False
4,,133,30,manual,133,30,566,231,False
5,,133,30,manual,133,30,566,231,False
6,,133,30,manual,133,30,566,231,False
7,,133,30,manual,133,30,566,231,False
8,,133,30,manual,133,30,566,231,False
9,,133,30,manual,133,30,566,231,False
10,,133,30,manual,133,30,566,231,False
11,,133,30,manual,133,30,566,231,False
12,,133,30,manual,133,30,566,231,False
13,,133,30,manual,133,30,566,231,False
14,,133,30,manual,133,30,566,231,False
15,,133,30,manual,133,30,566,231,False
16,,133,30,manual,133,30,566,231,False
17,,133,30,manual,133,30,566,231,False
18,,133,30,manual,133,30,566,231,False
19,,133,30,manual,133,30,566,231,False
20,,133,30,manual,133,30,566,231,False
21,,133,30,manual,133,30,566,231,False
22,,133,30,manual,133,30,566,231,False
23,,133,30,manual,133,30,566,231,False
24,,133,30,manual,133,30,566,231,False
25,,133,30,manual,133,30,566,231,False
26,,133,30,manual,133,30,566,231,False
27,,133,30,manual,133,30,566,231,False
28,,133,30,manual,133,30,566,231,False
29,,133,30,manual,133,30,566,231,False
30,,133,30,manual,133,30,566,231,False
31,,133,30,manual,133,30,566,231,False
32,,133,30,manual,133,30,566,231,False
33,,133,30,manual,133,30,566,231,False
34,,133,30,manual,133,30,566,231,False
35,,133,30,manual,133,30,566,231,False
36,,133,30,manual,133,30,566,231,False
37,,133,30,manual,133,30,566,231,False
38,,133,30,manual,133,30,566,231,False
39,,133,30,manual,133,30,566,231,False
40,,133,30,manual,133,30,566,231,False
41,,133,30,manual,133,30,566,231,False
42,,133,30,manual,133,30,566,231,False
43,,133,30,manual,133,30,566,231,False
44,,133,30,manual,133,30,566,231,False
45,,133,30,manual,133,30,566,231,False
46,,133,30,manual,133,30,566,231,False
47,,133,30,manual,133,30,566,231,False
48,,133,30,manual,133,30,566,231,False
49,,133,30,manual,133,30,566,231,False
50,,133,30,manual,133,30,566,231,False
51,,133,30,manual,133,30,566,231,False
52,,133,30,manual,133,30,566,231,False
53,,133,30,manual,133,30,566,231,False
54,,133,30,manual,133,30,566,231,False
55,,133,30,manual,133,30,566,231,False
56,,133,30,manual,133,30,566,231,False
57,,133,30,manual,133,30,566,231,False
58,,133,30,manual,133,30,566,231,False
59,,133,30,manual,133,30,566,231,False
60,,133,30,manual,133,30,566,231,False
61,,133,30,manual,133,30,566,231,False
62,,133,30,manual,133,30,566,231,False
63,,133,30,manual,133,30,566,231,False
64,,133,30,manual,133,30,566,231,False
65,,133,30,manual,133,30,566,231,False
66,,133,30,manual,133,30,566,231,False
67,,133,30,manual,133,30,566,231,False
68,,133,30,manual,133,30,566,231,False
69,,133,30,manual,133,30,566,231,False
70,,133,30,manual,133,30,566,231,False
71,,133,30,manual,133,30,566,231,False
72,,133,30,manual,133,30,566,231,False
73,,133,30,manual,133,30,566,231,False
74,,133,30,manual,133,30,566,231,False
75,,133,30,manual,133,30,566,231,False
76,,133,30,manual,133,30,566,231,False
77,,133,30,manual,133,30,566,231,False
78,,133,30,manual,133,30,566,231,False
79,,133,30,manual,133,30,566,231,False
80,,133,30,manual,133,30,566,231,False
81,,133,30,manual,133,30,566,231,False
82,,133,30,manual,133,30,566,231,False
83,,133,30,manual,133,30,566,231,False
84,,133,30,manual,133,30,566,231,False
85,,133,30,manual,133,30,566,231,False
86,,133,30,manual,133,30,566,231,False
87,,133,30,manual,133,30,566,231,False
88,,133,30,manual,133,30,566,231,False
89,,133,30,manual,133,30,566,231,False
90,,133,30,manual,133,30,566,231,False
91,,133,30,manual,133,30,566,231,False
92,,133,30,manual,133,30,566,231,False
93,,133,30,manual,133,30,566,231,False
94,,133,30,manual,133,30,566,231,False
95,,133,30,manual,133,30,566,231,False
96,,133,30,manual,133,30,566,231,False
97,,133,30,manual,133,30,566,231,False
98,,133,30,manual,133,30,566,231,False
99,,133,30,manual,133,30,566,231,False
100,,133,30,manual,133,30,566,231,False
101,,133,30,manual,133,30,566,231,False
102,,133,30,manual,133,30,566,231,False
103,,133,30,manual,133,30,566,231,False
104,,133,30,manual,133,30,566,231,False
105,,133,30,manual,133,30,566,231,False
106,,133,30,manual,133,30,566,231,False
107,,133,30,manual,133,30,566,231,False
108,,133,30,manual,133,30,566,231,False
109,,133,30,manual,133,30,566,231,False
110,,133,30,manual,133,30,566,231,False
111,,133,30,manual,133,30,566,231,False
112,,133,30,manual,133,30,566,231,False
113,,133,30,manual,133,30,566,231,False
114,,133,30,manual,133,30,566,231,False
115,,133,30,manual,133,30,566,231,False
116,,133,30,manual,133,30,566,231,False
117,,133,30,manual,133,30,566,231,False
118,,133,30,manual,133,30,566,231,False
119,,133,30,manual,133,30,566,231,False
120,,133,30,manual,133,30,566,231,False
121,,133,30,manual,133,30,566,231,False
122,,133,30,manual,133,30,566,231,False
123,,133,30,manual,133,30,566,231,False
124,,133,30,manual,133,30,566,231,False
125,,133,30,manual,133,30,566,231,False
126,,133,30,manual,133,30,566,231,False
127,,133,30,manual,133,30,566,231,False
128,,133,30,manual,133,30,566,231,False
129,,133,30,manual,133,30,566,231,False
130,,133,30,manual,133,30,566,231,False
131,,133,30,manual,133,30,566,231,False
132,,133,30,manual,133,30,566,231,False
133,,133,30,manual,133,30,566,231,False
134,,133,30,manual,133,30,566,231,False
135,,133,30,manual,133,30,566,231,False
136,,133,30,manual,133,30,566,231,False
137,,133,30,manual,133,30,566,231,False
138,,133,30,manual,133,30,566,231,False
139,,133,30,manual,133,30,566,231,False
140,,133,30,manual,133,30,566,231,False
141,,133,30,manual,133,30,566,231,False
142,,133,30,manual,133,30,566,231,False
143,,133,30,manual,133,30,566,231,False
144,,133,30,manual,133,30,566,231,False
145,,133,30,manual,133,30,566,231,False
146,,133,30,manual,133,30,566,231,False
147,,133,30,manual,133,30,566,231,False
148,,133,30,manual,133,30,566,231,False
149,,133,30,manual,133,30,566,231,False
150,,133,30,manual,133,30,566,231,False
151,,133,30,manual,133,30,566,231,False
152,,133,30,manual,133,30,566,231,False
153,,133,30,manual,133,30,566,231,False
154,,133,30,manual,133,30,566,231,False
155,,133,30,manual,133,30,566,231,False
156,,133,30,manual,133,30,566,231,False
157,,133,30,manual,133,30,566,231,False
158,,133,30,manual,133,30,566,231,False
159,,133,30,manual,133,30,566,231,False
160,,133,30,manual,133,30,566,231,False
161,,133,30,manual,133,30,566,231,False
162,,133,30,manual,133,30,566,231,False
163,,133,30,manual,133,30,566,231,False
164,,133,30,manual,133,30,566,231,False
165,,133,30,manual,133,30,566,231,False
166,,133,30,manual,133,30,566,231,False
167,,133,30,manual,133,30,566,231,False
168,,133,30,manual,133,30,566,231,False
169,,133,30,manual,133,30,566,231,False
170,,133,30,manual,133,30,566,231,False
171,,133,30,manual,133,30,566,231,False
172,,133,30,manual,133,30,566,231,False
173,,133,30,manual,133,30,566,231,False
174,,133,30,manual,133,30,566,231,False
175,,133,30,manual,133,30,566,231,False
176,,133,30,manual,133,30,566,231,False
177,,133,30,manual,133,30,566,231,False
178,,133,30,manual,133,30,566,231,False
179,,133,30,manual,133,30,566,231,False
180,,133,30,manual,133,30,566,231,False
181,,133,30,manual,133,30,566,231,False
182,,133,30,manual,133,30,566,231,False
183,,133,30,manual,133,30,566,231,False
184,,133,30,manual,133,30,566,231,False
185,,133,30,manual,133,30,566,231,False
186,,133,30,manual,133,30,566,231,False
187,,133,30,manual,133,30,566,231,False
188,,133,30,manual,133,30,566,231,False
189,,133,30,manual,133,30,566,231,False
190,,133,30,manual,133,30,566,231,False
191,,133,30,manual,133,30,566,231,False
192,,133,30,manual,133,30,566,231,False
193,,133,30,manual,133,30,566,231,False
194,,133,30,manual,133,30,566,231,False
195,,133,30,manual,133,30,566,231,False
196,,133,30,manual,133,30,566,231,False
197,,133,30,manual,133,30,566,231,False
198,,133,30,manual,133,30,566,231,False
199,,133,30,manual,133,30,566,231,False
200,,133,30,manual,133,30,566,231,False
201,,133,30,manual,133,30,566,231,False
202,,133,30,manual,133,30,566,231,False
203,,133,30,manual,133,30,566,231,False
204,,133,30,manual,133,30,566,231,False
205,,133,30,manual,133,30,566,231,False
206,,133,30,manual,133,30,566,231,False
207,,133,30,manual,133,30,566,231,False
208,,133,30,manual,133,30,566,231,False
209,,133,30,manual,133,30,566,231,False
210,,133,30,manual,133,30,566,231,False
211,,133,30,manual,133,30,566,231,False
212,,133,30,manual,133,30,566,231,False
213,,133,30,manual,133,30,566,231,False
214,,133,30,manual,133,30,566,231,False
215,,133,30,manual,133,30,566,231,False
216,,133,30,manual,133,30,566,231,False
217,,133,30,manual,133,30,566,231,False
218,,133,30,manual,133,30,566,231,False
219,,133,30,manual,133,30,566,231,False
220,,133,30,manual,133,30,566,231,False
221,,133,30,manual,133,30,566,231,False
222,,133,30,manual,133,30,566,231,False
223,,133,30,manual,133,30,566,231,False
224,,133,30,manual,133,30,566,231,False
225,,133,30,manual,133,30,566,231,False
226,,133,30,manual,133,30,566,231,False
227,,133,30,manual,133,30,566,231,False
228,,133,30,manual,133,30,566,231,False
229,,133,30,manual,133,30,566,231,False
230,,133,30,manual,133,30,566,231,False
231,,133,30,manual,133,30,566,231,False
232,,133,30,manual,133,30,566,231,False
233,,133,30,manual,133,30,566,231,False
234,,133,30,manual,133,30,566,231,False
235,,133,30,manual,133,30,566,231,False
236,,133,30,manual,133,30,566,231,False
237,,133,30,manual,133,30,566,231,False
238,,133,30,manual,133,30,566,231,False
239,,133,30,manual,133,30,566,231,False
240,,133,30,manual,133,30,566,231,False
241,,133,30,manual,133,30,566,231,False
242,,133,30,manual,133,30,566,231,False
243,,133,30,manual,133,30,566,231,False
244,,133,30,manual,133,30,566,231,False
245,,133,30,manual,133,30,566,231,False
246,,133,30,manual,133,30,566,231,False
247,,133,30,manual,133,30,566,231,False
248,,133,30,manual,133,30,566,231,False
249,,133,30,manual,133,30,566,231,False
250,,133,30,manual,133,30,566,231,False
251,,133,30,manual,133,30,566,231,False
252,,133,30,manual,133,30,566,231,False
253,,133,30,manual,133,30,566,231,False
254,,133,30,manual,133,30,566,231,False
255,,133,30,manual,133,30,566,231,False
256,,133,30,manual,133,30,566,231,False
257,,133,30,manual,133,30,566,231,False
258,,133,30,manual,133,30,566,231,False
259,,133,30,manual,133,30,566,231,False
260,,133,30,manual,133,30,566,231,False
261,,133,30,manual,133,30,566,231,False
262,,133,30,manual,133,30,566,231,False
263,,133,30,manual,133,30,566,231,False
264,,133,30,manual,133,30,566,231,False
265,,133,30,manual,133,30,566,231,False
266,,133,30,manual,133,30,566,231,False
267,,133,30,manual,133,30,566,231,False
268,,133,30,manual,133,30,566,231,False
269,,133,30,manual,133,30,566,231,False
270,,133,30,manual,133,30,566,231,False
271,,133,30,manual,133,30,566,231,False
272,,133,30,manual,133,30,566,231,False
273,,133,30,manual,133,30,566,231,False
274,,133,30,manual,133,30,566,231,False
275,,133,30,manual,133,30,566,231,False
276,,133,30,manual,133,30,566,231,False
277,,133,30,manual,133,30,566,231,False
278,,133,30,manual,133,30,566,231,False
279,,133,30,manual,133,30,566,231,False
280,,133,30,manual,133,30,566,231,False
281,,133,30,manual,133,30,566,231,False
282,,133,30,manual,133,30,566,231,False
283,,133,30,manual,133,30,566,231,False
284,,133,30,manual,133,30,566,231,False
285,,133,30,manual,133,30,566,231,False
286,,133,30,manual,133,30,566,231,False
287,,133,30,manual,133,30,566,231,False
288,,133,30,manual,133,30,566,231,False
289,,133,30,manual,133,30,566,231,False
290,,133,30,manual,133,30,566,231,False
291,,133,30,manual,133,30,566,231,False
292,,133,30,manual,133,30,566,231,False
293,,133,30,manual,133,30,566,231,False
294,,133,30,manual,133,30,566,231,False
295,,133,30,manual,133,30,566,231,False
296,,133,30,manual,133,30,566,231,False
297,,133,30,manual,133,30,566,231,False
298,,133,30,manual,133,30,566,231,False
299,,133,30,manual,133,30,566,231,False
300,,133,30,manual,133,30,566,231,False
301,,133,30,manual,133,30,566,231,False
302,,133,30,manual,133,30,566,231,False
303,,133,30,manual,133,30,566,231,False
304,,133,30,manual,133,30,566,231,False
305,,133,30,manual,133,30,566,231,False
306,,133,30,manual,133,30,566,231,False
307,,133,30,manual,133,30,566,231,False
308,,133,30,manual,133,30,566,231,False
309,,133,30,manual,133,30,566,231,False
310,,133,30,manual,133,30,566,231,False
311,,133,30,manual,133,30,566,231,False
312,,133,30,manual,133,30,566,231,False
313,,133,30,manual,133,30,566,231,False
314,,133,30,manual,133,30,566,231,False
315,,133,30,manual,133,30,566,231,False
316,,133,30,manual,133,30,566,231,False
317,,133,30,manual,133,30,566,231,False
318,,133,30,manual,133,30,566,231,False
319,,133,30,manual,133,30,566,231,False
320,,133,30,manual,133,30,566,231,False
321,,133,30,manual,133,30,566,231,False
322,,133,30,manual,133,30,566,231,False
323,,133,30,manual,133,30,566,231,False
324,,133,30,manual,133,30,566,231,False
325,,133,30,manual,133,30,566,231,False
