frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
1,,True,137,29,,229,566,137,29
2,,True,137,29,,229,566,137,29
3,,True,137,29,,229,566,137,29
4,,True,137,29,,229,566,137,29
5,,True,137,29,,229,566,137,29
6,,True,137,29,,229,566,137,29
7,,True,137,29,,229,566,137,29
8,,True,137,29,,229,566,137,29
9,,True,137,29,,229,566,137,29
10,,True,137,29,,229,566,137,29
11,,True,137,29,,229,566,137,29
12,,True,137,29,,229,566,137,29
13,,True,137,29,,229,566,137,29
14,,True,137,29,,229,566,137,29
15,,True,137,29,,229,566,137,29
16,,True,137,29,,229,566,137,29
17,,True,137,29,,229,566,137,29
18,,True,137,29,,229,566,137,29
19,,True,137,29,,229,566,137,29
20,,True,137,29,,229,566,137,29
21,,True,137,29,,229,566,137,29
22,,True,137,29,,229,566,137,29
23,,True,137,29,,229,566,137,29
24,,True,137,29,,229,566,137,29
25,,True,137,29,,229,566,137,29
26,,True,137,29,,229,566,137,29
27,,True,137,29,,229,566,137,29
28,,True,137,29,,229,566,137,29
29,,True,137,29,,229,566,137,29
30,,True,137,29,,229,566,137,29
31,,True,137,29,,229,566,137,29
32,,True,137,29,,229,566,137,29
33,,True,137,29,,229,566,137,29
34,,True,137,29,,229,566,137,29
35,,True,137,29,,229,566,137,29
36,,True,137,29,,229,566,137,29
37,,True,137,29,,229,566,137,29
38,,True,137,29,,229,566,137,29
39,,True,137,29,,229,566,137,29
40,,True,137,29,,229,566,137,29
41,,True,137,29,,229,566,137,29
42,,True,137,29,,229,566,137,29
43,,True,137,29,,229,566,137,29
44,,True,137,29,,229,566,137,29
45,,True,137,29,,229,566,137,29
46,,True,137,29,,229,566,137,29
47,,True,137,29,,229,566,137,29
48,,True,137,29,,229,566,137,29
49,,True,137,29,,229,566,137,29
50,,True,137,29,,229,566,137,29
51,,True,137,29,,229,566,137,29
52,,True,137,29,,229,566,137,29
53,,True,137,29,,229,566,137,29
54,,True,137,29,,229,566,137,29
55,,True,137,29,,229,566,137,29
56,,True,137,29,,229,566,137,29
57,,True,137,29,,229,566,137,29
58,,True,137,29,,229,566,137,29
59,,True,137,29,,229,566,137,29
60,,True,137,29,,229,566,137,29
61,,True,137,29,,229,566,137,29
62,,True,137,29,,229,566,137,29
63,,True,137,29,,229,566,137,29
64,,True,137,29,,229,566,137,29
65,,True,137,29,,229,566,137,29
66,,True,137,29,,229,566,137,29
67,,True,137,29,,229,566,137,29
68,,True,137,29,,229,566,137,29
69,,True,137,29,,229,566,137,29
70,,True,137,29,,229,566,137,29
71,,True,137,29,,229,566,137,29
72,,True,137,29,,229,566,137,29
73,,True,137,29,,229,566,137,29
74,,True,137,29,,229,566,137,29
75,,True,137,29,,229,566,137,29
76,,True,137,29,,229,566,137,29
77,,True,137,29,,229,566,137,29
78,,True,137,29,,229,566,137,29
79,,True,137,29,,229,566,137,29
80,,True,137,29,,229,566,137,29
81,,True,137,29,,229,566,137,29
82,,True,137,29,,229,566,137,29
83,,True,137,29,,229,566,137,29
84,,True,137,29,,229,566,137,29
85,,True,137,29,,229,566,137,29
86,,True,137,29,,229,566,137,29
87,,True,137,29,,229,566,137,29
88,,True,137,29,,229,566,137,29
89,,True,137,29,,229,566,137,29
90,,True,137,29,,229,566,137,29
91,,True,137,29,,229,566,137,29
92,,True,137,29,,229,566,137,29
93,,True,137,29,,229,566,137,29
94,,True,137,29,,229,566,137,29
95,,True,137,29,,229,566,137,29
96,,True,137,29,,229,566,137,29
97,,True,137,29,,229,566,137,29
98,,True,137,29,,229,566,137,29
99,,True,137,29,,229,566,137,29
100,,True,137,29,,229,566,137,29
101,,True,137,29,,229,566,137,29
102,,True,137,29,,229,566,137,29
103,,True,137,29,,229,566,137,29
104,,True,137,29,,229,566,137,29
105,,True,137,29,,229,566,137,29
106,,True,137,29,,229,566,137,29
107,,True,137,29,,229,566,137,29
108,,True,137,29,,229,566,137,29
109,,True,137,29,,229,566,137,29
110,,True,137,29,,229,566,137,29
111,,True,137,29,,229,566,137,29
112,,True,137,29,,229,566,137,29
113,,True,137,29,,229,566,137,29
114,,True,137,29,,229,566,137,29
115,,True,137,29,,229,566,137,29
116,,True,137,29,,229,566,137,29
117,,True,137,29,,229,566,137,29
118,,True,137,29,,229,566,137,29
119,,True,137,29,,229,566,137,29
120,,True,137,29,,229,566,137,29
121,,True,137,29,,229,566,137,29
122,,True,137,29,,229,566,137,29
123,,True,137,29,,229,566,137,29
124,,True,137,29,,229,566,137,29
125,,True,137,29,,229,566,137,29
126,,True,137,29,,229,566,137,29
127,,True,137,29,,229,566,137,29
128,,True,137,29,,229,566,137,29
129,,True,137,29,,229,566,137,29
