frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
1,,True,305,12,,219,555,305,12
2,,True,305,12,,219,555,305,12
3,,True,305,12,,219,555,305,12
4,,True,305,12,,219,555,305,12
5,,True,305,12,,219,555,305,12
6,,True,305,12,,219,555,305,12
7,,True,305,12,,219,555,305,12
8,,True,305,12,,219,555,305,12
9,,True,305,12,,219,555,305,12
10,,True,305,12,,219,555,305,12
11,,True,305,12,,219,555,305,12
12,,True,305,12,,219,555,305,12
13,,True,305,12,,219,555,305,12
14,,True,305,12,,219,555,305,12
15,,True,305,12,,219,555,305,12
16,,True,305,12,,219,555,305,12
17,,True,305,12,,219,555,305,12
18,,True,305,12,,219,555,305,12
19,,True,305,12,,219,555,305,12
20,,True,305,12,,219,555,305,12
21,,True,305,12,,219,555,305,12
22,,True,305,12,,219,555,305,12
23,,True,305,12,,219,555,305,12
24,,True,305,12,,219,555,305,12
25,,True,305,12,,219,555,305,12
26,,True,305,12,,219,555,305,12
27,,True,305,12,,219,555,305,12
28,,True,305,12,,219,555,305,12
29,,True,305,12,,219,555,305,12
30,,True,305,12,,219,555,305,12
31,,True,305,12,,219,555,305,12
32,,True,305,12,,219,555,305,12
33,,True,305,12,,219,555,305,12
34,,True,305,12,,219,555,305,12
35,,True,305,12,,219,555,305,12
36,,True,305,12,,219,555,305,12
37,,True,305,12,,219,555,305,12
38,,True,305,12,,219,555,305,12
39,,True,305,12,,219,555,305,12
40,,True,305,12,,219,555,305,12
41,,True,305,12,,219,555,305,12
42,,True,305,12,,219,555,305,12
43,,True,305,12,,219,555,305,12
44,,True,305,12,,219,555,305,12
45,,True,305,12,,219,555,305,12
46,,True,305,12,,219,555,305,12
47,,True,305,12,,219,555,305,12
48,,True,305,12,,219,555,305,12
49,,True,305,12,,219,555,305,12
50,,True,305,12,,219,555,305,12
51,,True,305,12,,219,555,305,12
52,,True,305,12,,219,555,305,12
53,,True,305,12,,219,555,305,12
54,,True,305,12,,219,555,305,12
55,,True,305,12,,219,555,305,12
56,,True,305,12,,219,555,305,12
57,,True,305,12,,219,555,305,12
58,,True,305,12,,219,555,305,12
59,,True,305,12,,219,555,305,12
60,,True,305,12,,219,555,305,12
61,,True,305,12,,219,555,305,12
62,,True,305,12,,219,555,305,12
63,,True,305,12,,219,555,305,12
64,,True,305,12,,219,555,305,12
65,,True,305,12,,219,555,305,12
66,,True,305,12,,219,555,305,12
67,,True,305,12,,219,555,305,12
68,,True,305,12,,219,555,305,12
69,,True,305,12,,219,555,305,12
70,,True,305,12,,219,555,305,12
71,,True,305,12,,219,555,305,12
72,,True,305,12,,219,555,305,12
73,,True,305,12,,219,555,305,12
74,,True,305,12,,219,555,305,12
75,,True,305,12,,219,555,305,12
76,,True,305,12,,219,555,305,12
77,,True,305,12,,219,555,305,12
78,,True,305,12,,219,555,305,12
79,,True,305,12,,219,555,305,12
80,,True,305,12,,219,555,305,12
81,,True,305,12,,219,555,305,12
82,,True,305,12,,219,555,305,12
83,,True,305,12,,219,555,305,12
84,,True,305,12,,219,555,305,12
85,,True,305,12,,219,555,305,12
86,,True,305,12,,219,555,305,12
87,,True,305,12,,219,555,305,12
88,,True,396,11,,219,555,396,11
89,,True,400,14,,219,555,400,14
90,,True,404,15,,219,555,404,15
91,,True,403,14,,219,555,403,14
92,,True,403,14,,219,555,403,14
93,,True,403,14,,219,555,403,14
94,,True,403,14,,219,555,403,14
95,,True,403,14,,219,555,403,14
96,,True,403,14,,219,555,403,14
97,,True,403,14,,219,555,403,14
98,,True,403,14,,219,555,403,14
99,,True,403,14,,219,555,403,14
100,,True,403,14,,219,555,403,14
101,,True,403,14,,219,555,403,14
102,,True,403,14,,219,555,403,14
103,,True,403,14,,219,555,403,14
104,,True,403,14,,219,555,403,14
105,,True,403,14,,219,555,403,14
106,,True,403,14,,219,555,403,14
107,,True,403,14,,219,555,403,14
108,,True,403,14,,219,555,403,14
109,,True,403,14,,219,555,403,14
110,,True,403,14,,219,555,403,14
111,,True,403,14,,219,555,403,14
112,,True,403,14,,219,555,403,14
113,,True,403,14,,219,555,403,14
114,,True,403,14,,219,555,403,14
115,,True,403,14,,219,555,403,14
116,,True,403,14,,219,555,403,14
117,,True,403,14,,219,555,403,14
118,,True,403,14,,219,555,403,14
119,,True,403,14,,219,555,403,14
120,,True,403,14,,219,555,403,14
121,,True,403,14,,219,555,403,14
122,,True,403,14,,219,555,403,14
123,,True,403,14,,219,555,403,14
124,,True,403,14,,219,555,403,14
125,,True,403,14,,219,555,403,14
126,,True,403,14,,219,555,403,14
127,,True,403,14,,219,555,403,14
128,,True,403,14,,219,555,403,14
129,,True,403,14,,219,555,403,14
130,,True,403,14,,219,555,403,14
131,,True,403,14,,219,555,403,14
132,,True,403,14,,219,555,403,14
133,,True,403,14,,219,555,403,14
134,,True,403,14,,219,555,403,14
135,,True,403,14,,219,555,403,14
136,,True,403,14,,219,555,403,14
137,,True,403,14,,219,555,403,14
138,,True,403,14,,219,555,403,14
139,,True,403,14,,219,555,403,14
140,,True,403,14,,219,555,403,14
141,,True,403,14,,219,555,403,14
142,,True,403,14,,219,555,403,14
143,,True,403,14,,219,555,403,14
144,,True,403,14,,219,555,403,14
145,,True,403,14,,219,555,403,14
146,,True,403,14,,219,555,403,14
147,,True,403,14,,219,555,403,14
148,,True,403,14,,219,555,403,14
149,,True,403,14,,219,555,403,14
150,,True,403,14,,219,555,403,14
151,,True,403,14,,219,555,403,14
152,,True,403,14,,219,555,403,14
153,,True,403,14,,219,555,403,14
154,,True,403,14,,219,555,403,14
155,,True,403,14,,219,555,403,14
156,,True,403,14,,219,555,403,14
157,,True,403,14,,219,555,403,14
158,,True,403,14,,219,555,403,14
159,,True,403,14,,219,555,403,14
160,,True,403,14,,219,555,403,14
161,,True,403,14,,219,555,403,14
162,,True,403,14,,219,555,403,14
163,,True,403,14,,219,555,403,14
164,,True,403,14,,219,555,403,14
165,,True,403,14,,219,555,403,14
166,,True,403,14,,219,555,403,14
167,,True,403,14,,219,555,403,14
168,,True,403,14,,219,555,403,14
169,,True,403,14,,219,555,403,14
170,,True,403,14,,219,555,403,14
171,,True,403,14,,219,555,403,14
172,,True,403,14,,219,555,403,14
173,,True,403,14,,219,555,403,14
174,,True,403,14,,219,555,403,14
175,,True,403,14,,219,555,403,14
176,,True,403,14,,219,555,403,14
177,,True,403,14,,219,555,403,14
178,,True,403,14,,219,555,403,14
179,,True,403,14,,219,555,403,14
180,,True,403,14,,219,555,403,14
181,,True,403,14,,219,555,403,14
182,,True,403,14,,219,555,403,14
183,,True,403,14,,219,555,403,14
184,,True,403,14,,219,555,403,14
185,,True,403,14,,219,555,403,14
186,,True,403,14,,219,555,403,14
187,,True,403,14,,219,555,403,14
188,,True,403,14,,219,555,403,14
189,,True,403,14,,219,555,403,14
190,,True,403,14,,219,555,403,14
191,,True,403,14,,219,555,403,14
192,,True,403,14,,219,555,403,14
193,,True,403,14,,219,555,403,14
194,,True,403,14,,219,555,403,14
195,,True,403,14,,219,555,403,14
196,,True,403,14,,219,555,403,14
197,,True,403,14,,219,555,403,14
198,,True,403,14,,219,555,403,14
199,,True,403,14,,219,555,403,14
200,,True,403,14,,219,555,403,14
201,,True,403,14,,219,555,403,14
202,,True,403,14,,219,555,403,14
203,,True,403,14,,219,555,403,14
204,,True,403,14,,219,555,403,14
205,,True,403,14,,219,555,403,14
206,,True,403,14,,219,555,403,14
207,,True,403,14,,219,555,403,14
208,,True,403,14,,219,555,403,14
209,,True,403,14,,219,555,403,14
210,,True,403,14,,219,555,403,14
211,,True,403,14,,219,555,403,14
212,,True,403,14,,219,555,403,14
213,,True,403,14,,219,555,403,14
214,,True,403,14,,219,555,403,14
215,,True,403,14,,219,555,403,14
216,,True,403,14,,219,555,403,14
217,,True,403,14,,219,555,403,14
218,,True,403,14,,219,555,403,14
219,,True,403,14,,219,555,403,14
220,,True,403,14,,219,555,403,14
221,,True,403,14,,219,555,403,14
222,,True,403,14,,219,555,403,14
223,,True,403,14,,219,555,403,14
224,,True,403,14,,219,555,403,14
225,,True,403,14,,219,555,403,14
226,,True,403,14,,219,555,403,14
227,,True,403,14,,219,555,403,14
228,,True,403,14,,219,555,403,14
229,,True,403,14,,219,555,403,14
230,,True,403,14,,219,555,403,14
231,,True,403,14,,219,555,403,14
232,,True,403,14,,219,555,403,14
233,,True,403,14,,219,555,403,14
234,,True,403,14,,219,555,403,14
235,,True,403,14,,219,555,403,14
236,,True,403,14,,219,555,403,14
237,,True,403,14,,219,555,403,14
238,,True,403,14,,219,555,403,14
239,,True,403,14,,219,555,403,14
240,,True,403,14,,219,555,403,14
241,,True,403,14,,219,555,403,14
242,,True,403,14,,219,555,403,14
243,,True,403,14,,219,555,403,14
244,,True,403,14,,219,555,403,14
245,,True,403,14,,219,555,403,14
246,,True,403,14,,219,555,403,14
247,,True,403,14,,219,555,403,14
248,,True,403,14,,219,555,403,14
249,,True,403,14,,219,555,403,14
250,,True,403,14,,219,555,403,14
251,,True,403,14,,219,555,403,14
252,,True,403,14,,219,555,403,14
253,,True,403,14,,219,555,403,14
254,,True,403,14,,219,555,403,14
255,,True,403,14,,219,555,403,14
256,,True,403,14,,219,555,403,14
257,,True,403,14,,219,555,403,14
258,,True,403,14,,219,555,403,14
259,,True,403,14,,219,555,403,14
260,,True,403,14,,219,555,403,14
261,,True,403,14,,219,555,403,14
262,,True,403,14,,219,555,403,14
263,,True,403,14,,219,555,403,14
264,,True,403,14,,219,555,403,14
265,,True,403,14,,219,555,403,14
266,,True,403,14,,219,555,403,14
267,,True,403,14,,219,555,403,14
268,,True,403,14,,219,555,403,14
269,,True,403,14,,219,555,403,14
270,,True,403,14,,219,555,403,14
271,,True,403,14,,219,555,403,14
272,,True,403,14,,219,555,403,14
273,,True,403,14,,219,555,403,14
274,,True,403,14,,219,555,403,14
275,,True,403,14,,219,555,403,14
276,,True,403,14,,219,555,403,14
277,,True,403,14,,219,555,403,14
278,,True,403,14,,219,555,403,14
279,,True,403,14,,219,555,403,14
280,,True,403,14,,219,555,403,14
281,,True,403,14,,219,555,403,14
282,,True,403,14,,219,555,403,14
283,,True,403,14,,219,555,403,14
284,,True,403,14,,219,555,403,14
285,,True,403,14,,219,555,403,14
286,,True,403,14,,219,555,403,14
287,,True,403,14,,219,555,403,14
288,,True,403,14,,219,555,403,14
289,,True,403,14,,219,555,403,14
290,,True,403,14,,219,555,403,14
291,,True,403,14,,219,555,403,14
292,,True,403,14,,219,555,403,14
293,,True,403,14,,219,555,403,14
294,,True,403,14,,219,555,403,14
295,,True,403,14,,219,555,403,14
296,,True,403,14,,219,555,403,14
297,,True,403,14,,219,555,403,14
298,,True,403,14,,219,555,403,14
299,,True,403,14,,219,555,403,14
300,,True,403,14,,219,555,403,14
301,,True,403,14,,219,555,403,14
302,,True,403,14,,219,555,403,14
303,,True,403,14,,219,555,403,14
304,,True,403,14,,219,555,403,14
305,,True,403,14,,219,555,403,14
306,,True,403,14,,219,555,403,14
307,,True,403,14,,219,555,403,14
308,,True,403,14,,219,555,403,14
309,,True,403,14,,219,555,403,14
310,,True,403,14,,219,555,403,14
311,,True,403,14,,219,555,403,14
312,,True,403,14,,219,555,403,14
313,,True,403,14,,219,555,403,14
314,,True,403,14,,219,555,403,14
315,,True,403,14,,219,555,403,14
316,,True,403,14,,219,555,403,14
317,,True,403,14,,219,555,403,14
318,,True,403,14,,219,555,403,14
319,,True,403,14,,219,555,403,14
320,,True,403,14,,219,555,403,14
321,,True,403,14,,219,555,403,14
322,,True,403,14,,219,555,403,14
323,,True,403,14,,219,555,403,14
324,,True,403,14,,219,555,403,14
325,,True,403,14,,219,555,403,14
326,,True,403,14,,219,555,403,14
327,,True,403,14,,219,555,403,14
328,,True,403,14,,219,555,403,14
329,,True,403,14,,219,555,403,14
330,,True,403,14,,219,555,403,14
331,,True,403,14,,219,555,403,14
332,,True,403,14,,219,555,403,14
333,,True,403,14,,219,555,403,14
334,,True,403,14,,219,555,403,14
335,,True,403,14,,219,555,403,14
336,,True,403,14,,219,555,403,14
337,,True,403,14,,219,555,403,14
338,,True,403,14,,219,555,403,14
339,,True,403,14,,219,555,403,14
340,,True,403,14,,219,555,403,14
341,,True,403,14,,219,555,403,14
342,,True,403,14,,219,555,403,14
343,,True,403,14,,219,555,403,14
344,,True,403,14,,219,555,403,14
345,,True,403,14,,219,555,403,14
346,,True,403,14,,219,555,403,14
347,,True,403,14,,219,555,403,14
348,,True,403,14,,219,555,403,14
349,,True,403,14,,219,555,403,14
350,,True,403,14,,219,555,403,14
351,,True,403,14,,219,555,403,14
352,,True,403,14,,219,555,403,14
353,,True,403,14,,219,555,403,14
354,,True,403,14,,219,555,403,14
355,,True,403,14,,219,555,403,14
356,,True,403,14,,219,555,403,14
357,,True,403,14,,219,555,403,14
358,,True,403,14,,219,555,403,14
359,,True,403,14,,219,555,403,14
360,,True,403,14,,219,555,403,14
361,,True,403,14,,219,555,403,14
362,,True,403,14,,219,555,403,14
363,,True,403,14,,219,555,403,14
364,,True,403,14,,219,555,403,14
365,,True,403,14,,219,555,403,14
366,,True,403,14,,219,555,403,14
367,,True,403,14,,219,555,403,14
368,,True,403,14,,219,555,403,14
369,,True,403,14,,219,555,403,14
370,,True,403,14,,219,555,403,14
371,,True,403,14,,219,555,403,14
372,,True,403,14,,219,555,403,14
373,,True,403,14,,219,555,403,14
374,,True,403,14,,219,555,403,14
375,,True,403,14,,219,555,403,14
376,,True,403,14,,219,555,403,14
377,,True,403,14,,219,555,403,14
378,,True,403,14,,219,555,403,14
379,,True,403,14,,219,555,403,14
380,,True,403,14,,219,555,403,14
381,,True,403,14,,219,555,403,14
382,,True,403,14,,219,555,403,14
383,,True,403,14,,219,555,403,14
384,,True,403,14,,219,555,403,14
385,,True,403,14,,219,555,403,14
386,,True,403,14,,219,555,403,14
387,,True,403,14,,219,555,403,14
388,,True,403,14,,219,555,403,14
389,,True,403,14,,219,555,403,14
390,,True,403,14,,219,555,403,14
391,,True,403,14,,219,555,403,14
392,,True,403,14,,219,555,403,14
393,,True,403,14,,219,555,403,14
394,,True,403,14,,219,555,403,14
395,,True,403,14,,219,555,403,14
396,,True,403,14,,219,555,403,14
397,,True,403,14,,219,555,403,14
398,,True,403,14,,219,555,403,14
399,,True,403,14,,219,555,403,14
400,,True,403,14,,219,555,403,14
