frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
1,,True,334,213,,224,559,334,213
2,,True,334,213,,224,559,334,213
3,,True,334,213,,224,559,334,213
4,,True,334,213,,224,559,334,213
5,,True,334,213,,224,559,334,213
6,,True,334,213,,224,559,334,213
7,,True,334,213,,224,559,334,213
8,,True,334,213,,224,559,334,213
9,,True,334,213,,224,559,334,213
10,,True,334,213,,224,559,334,213
11,,True,334,213,,224,559,334,213
12,,True,334,213,,224,559,334,213
13,,True,334,213,,224,559,334,213
14,,True,334,213,,224,559,334,213
15,,True,334,213,,224,559,334,213
16,,True,334,213,,224,559,334,213
17,,True,334,213,,224,559,334,213
18,,True,334,213,,224,559,334,213
19,,True,334,213,,224,559,334,213
20,,True,334,213,,224,559,334,213
21,,True,334,213,,224,559,334,213
22,,True,334,213,,224,559,334,213
23,,True,334,213,,224,559,334,213
24,,True,334,213,,224,559,334,213
25,,True,334,213,,224,559,334,213
26,,True,334,213,,224,559,334,213
27,,True,334,213,,224,559,334,213
28,,True,334,213,,224,559,334,213
29,,True,334,213,,224,559,334,213
30,,True,334,213,,224,559,334,213
31,,True,334,213,,224,559,334,213
32,,True,334,213,,224,559,334,213
33,,True,334,213,,224,559,334,213
34,,True,334,213,,224,559,334,213
35,,True,334,213,,224,559,334,213
36,,True,334,213,,224,559,334,213
37,,True,334,213,,224,559,334,213
38,,True,334,213,,224,559,334,213
39,,True,334,213,,224,559,334,213
40,,True,334,213,,224,559,334,213
41,,True,334,213,,224,559,334,213
42,,True,334,213,,224,559,334,213
43,,True,334,213,,224,559,334,213
44,,True,334,213,,224,559,334,213
45,,True,334,213,,224,559,334,213
46,,True,334,213,,224,559,334,213
47,,True,334,213,,224,559,334,213
48,,True,334,213,,224,559,334,213
49,,True,334,213,,224,559,334,213
50,,True,334,213,,224,559,334,213
51,,True,334,213,,224,559,334,213
52,,True,334,213,,224,559,334,213
53,,True,334,213,,224,559,334,213
54,,True,334,213,,224,559,334,213
55,,True,334,213,,224,559,334,213
56,,True,334,213,,224,559,334,213
57,,True,334,213,,224,559,334,213
58,,True,334,213,,224,559,334,213
59,,True,334,213,,224,559,334,213
60,,True,334,213,,224,559,334,213
61,,True,334,213,,224,559,334,213
62,,True,334,213,,224,559,334,213
63,,True,334,213,,224,559,334,213
64,,True,334,213,,224,559,334,213
65,,True,334,213,,224,559,334,213
66,,True,334,213,,224,559,334,213
67,,True,334,213,,224,559,334,213
68,,True,334,213,,224,559,334,213
69,,True,334,213,,224,559,334,213
70,,True,334,213,,224,559,334,213
71,,True,334,213,,224,559,334,213
72,,True,334,213,,224,559,334,213
73,,True,334,213,,224,559,334,213
74,,True,334,213,,224,559,334,213
75,,True,334,213,,224,559,334,213
76,,True,334,213,,224,559,334,213
77,,True,334,213,,224,559,334,213
78,,True,334,213,,224,559,334,213
79,,True,334,213,,224,559,334,213
80,,True,334,213,,224,559,334,213
81,,True,334,213,,224,559,334,213
82,,True,334,213,,224,559,334,213
83,,True,334,213,,224,559,334,213
84,,True,334,213,,224,559,334,213
85,,True,334,213,,224,559,334,213
86,,True,334,213,,224,559,334,213
87,,True,334,213,,224,559,334,213
88,,True,334,213,,224,559,334,213
89,,True,334,213,,224,559,334,213
90,,True,334,213,,224,559,334,213
91,,True,334,213,,224,559,334,213
92,,True,334,213,,224,559,334,213
93,,True,334,213,,224,559,334,213
94,,True,334,213,,224,559,334,213
95,,True,334,213,,224,559,334,213
96,,True,334,213,,224,559,334,213
97,,True,334,213,,224,559,334,213
98,,True,334,213,,224,559,334,213
99,,True,334,213,,224,559,334,213
100,,True,334,213,,224,559,334,213
101,,True,334,213,,224,559,334,213
102,,True,334,213,,224,559,334,213
103,,True,334,213,,224,559,334,213
104,,True,334,213,,224,559,334,213
105,,True,334,213,,224,559,334,213
106,,True,334,213,,224,559,334,213
107,,True,334,213,,224,559,334,213
108,,True,334,213,,224,559,334,213
109,,True,334,213,,224,559,334,213
110,,True,334,213,,224,559,334,213
111,,True,334,213,,224,559,334,213
112,,True,334,213,,224,559,334,213
113,,True,334,213,,224,559,334,213
114,,True,334,213,,224,559,334,213
115,,True,334,213,,224,559,334,213
116,,True,334,213,,224,559,334,213
