frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,173.0,31.0,manual,173.0,31.0,560,228,False
3,173.0,31.0,manual,173.0,31.0,560,228,False
4,173.0,31.0,manual,173.0,31.0,560,228,False
5,173.0,31.0,manual,173.0,31.0,560,228,False
6,173.0,31.0,manual,173.0,31.0,560,228,False
7,173.0,31.0,manual,173.0,31.0,560,228,False
8,173.0,31.0,manual,173.0,31.0,560,228,False
9,173.0,31.0,manual,173.0,31.0,560,228,False
10,173.0,31.0,manual,173.0,31.0,560,228,False
11,173.0,31.0,manual,173.0,31.0,560,228,False
12,173.0,31.0,manual,173.0,31.0,560,228,False
13,173.0,31.0,manual,173.0,31.0,560,228,False
14,173.0,31.0,manual,173.0,31.0,560,228,False
15,173.0,31.0,manual,173.0,31.0,560,228,False
16,173.0,31.0,manual,173.0,31.0,560,228,False
17,173.0,31.0,manual,173.0,31.0,560,228,False
18,173.0,31.0,manual,173.0,31.0,560,228,False
19,173.0,31.0,manual,173.0,31.0,560,228,False
20,173.0,31.0,manual,173.0,31.0,560,228,False
21,173.0,31.0,manual,173.0,31.0,560,228,False
22,173.0,31.0,manual,173.0,31.0,560,228,False
23,173.0,31.0,manual,173.0,31.0,560,228,False
24,173.0,31.0,manual,173.0,31.0,560,228,False
25,173.0,31.0,manual,173.0,31.0,560,228,False
26,173.0,31.0,manual,173.0,31.0,560,228,False
27,173.0,31.0,manual,173.0,31.0,560,228,False
28,173.0,31.0,manual,173.0,31.0,560,228,False
29,173.0,31.0,manual,173.0,31.0,560,228,False
30,173.0,31.0,manual,173.0,31.0,560,228,False
31,173.0,31.0,manual,173.0,31.0,560,228,False
32,173.0,31.0,manual,173.0,31.0,560,228,False
33,173.0,31.0,manual,173.0,31.0,560,228,False
34,173.0,31.0,manual,173.0,31.0,560,228,False
35,173.0,31.0,manual,173.0,31.0,560,228,False
36,173.0,31.0,manual,173.0,31.0,560,228,False
