frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,514.0,128.0,manual,514.0,128.0,539,208,False
3,514.0,128.0,manual,514.0,128.0,539,208,False
4,514.0,128.0,manual,514.0,128.0,539,208,False
5,514.0,128.0,manual,514.0,128.0,539,208,False
6,514.0,128.0,manual,514.0,128.0,539,208,False
7,514.0,128.0,manual,514.0,128.0,539,208,False
8,514.0,128.0,manual,514.0,128.0,539,208,False
9,514.0,128.0,manual,514.0,128.0,539,208,False
10,514.0,128.0,manual,514.0,128.0,539,208,False
11,514.0,128.0,manual,514.0,128.0,539,208,False
12,514.0,128.0,manual,514.0,128.0,539,208,False
13,514.0,128.0,manual,514.0,128.0,539,208,False
14,514.0,128.0,manual,514.0,128.0,539,208,False
15,514.0,128.0,manual,514.0,128.0,539,208,False
16,514.0,128.0,manual,514.0,128.0,539,208,False
17,514.0,128.0,manual,514.0,128.0,539,208,False
18,514.0,128.0,manual,514.0,128.0,539,208,False
19,514.0,128.0,manual,514.0,128.0,539,208,False
20,514.0,128.0,manual,514.0,128.0,539,208,False
21,514.0,128.0,manual,514.0,128.0,539,208,False
22,514.0,128.0,manual,514.0,128.0,539,208,False
23,514.0,128.0,manual,514.0,128.0,539,208,False
24,514.0,128.0,manual,514.0,128.0,539,208,False
25,514.0,128.0,manual,514.0,128.0,539,208,False
26,514.0,128.0,manual,514.0,128.0,539,208,False
27,514.0,128.0,manual,514.0,128.0,539,208,False
28,514.0,128.0,manual,514.0,128.0,539,208,False
29,514.0,128.0,manual,514.0,128.0,539,208,False
30,514.0,128.0,manual,514.0,128.0,539,208,False
31,514.0,128.0,manual,514.0,128.0,539,208,False
32,514.0,128.0,manual,514.0,128.0,539,208,False
33,514.0,128.0,manual,514.0,128.0,539,208,False
34,514.0,128.0,manual,514.0,128.0,539,208,False
35,514.0,128.0,manual,514.0,128.0,539,208,False
36,514.0,128.0,manual,514.0,128.0,539,208,False
37,514.0,128.0,manual,514.0,128.0,539,208,False
38,514.0,128.0,manual,514.0,128.0,539,208,False
39,514.0,128.0,manual,514.0,128.0,539,208,False
40,514.0,128.0,manual,514.0,128.0,539,208,False
41,514.0,128.0,manual,514.0,128.0,539,208,False
42,514.0,128.0,manual,514.0,128.0,539,208,False
43,514.0,128.0,manual,514.0,128.0,539,208,False
44,514.0,128.0,manual,514.0,128.0,539,208,False
45,514.0,128.0,manual,514.0,128.0,539,208,False
46,514.0,128.0,0,514.0,128.0,539,208,False
47,513.0,128.0,0,513.166666667,128.0,539,208,False
