frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,527.0,187.0,manual,527.0,187.0,558,228,False
3,,527.0,187.0,manual,527.0,187.0,558,228,False
4,,527.0,187.0,manual,527.0,187.0,558,228,False
5,,527.0,187.0,manual,527.0,187.0,558,228,False
6,,527.0,187.0,manual,527.0,187.0,558,228,False
7,,527.0,187.0,manual,527.0,187.0,558,228,False
8,,527.0,187.0,29,527.0,187.0,558,228,False
9,,528.0,188.0,29,527.833333333,187.833333333,558,228,False
10,,528.0,189.0,29,527.99378882,188.956521739,558,228,False
11,1.0,525.111111111,185.0,29,525.105590062,184.961352657,558,228,False
12,1.0,522.222222222,181.0,29,522.217391304,180.966183575,558,228,False
13,1.0,519.333333333,177.0,29,519.329192547,176.971014493,558,228,False
14,1.0,516.444444444,173.0,29,516.440993789,172.975845411,558,228,False
15,1.0,513.555555556,169.0,29,513.552795031,168.980676329,558,228,False
16,1.0,510.666666667,165.0,29,510.664596273,164.985507246,558,228,False
17,1.0,507.777777778,161.0,29,507.776397516,160.990338164,558,228,False
18,1.0,504.888888889,157.0,29,504.888198758,156.995169082,558,228,False
19,,502.0,153.0,29,502.0,153.0,558,228,False
20,,493.0,145.0,29,494.5,146.333333333,558,228,False
21,,488.0,138.0,29,488.242236025,138.310559006,558,228,False
22,,484.0,128.0,29,484.065319234,128.188729755,558,228,False
23,,483.0,119.0,29,482.968204147,119.056204816,558,228,False
24,,483.0,109.0,29,482.967533479,109.038191003,558,228,False
25,,482.0,98.0,29,482.004758351,98.0329075333,558,228,False
26,,478.0,88.0,29,478.05609375,87.9953211091,558,228,False
27,,474.0,78.0,29,474.023506549,77.9974452366,558,228,False
28,,469.0,70.0,29,469.02672201,69.9633362845,558,228,False
29,,464.0,62.0,29,464.010819217,61.9846258924,558,228,False
30,,458.0,55.0,29,458.021909948,54.9763517228,558,228,False
31,,452.0,50.0,29,452.009021701,49.9546557962,558,228,False
32,,444.0,46.0,29,444.039076123,45.9635150395,558,228,False
33,,434.0,45.0,29,434.051946003,44.9319552957,558,228,False
34,,424.0,43.0,29,424.021149978,42.9898694947,558,228,False
35,,416.0,39.0,29,415.972295874,39.0326257319,558,228,False
36,,406.0,35.0,29,406.023643881,35.0139021091,558,228,False
37,,398.0,32.0,29,397.974765402,31.9874285652,558,228,False
38,,389.0,29.0,29,389.006801682,28.9944648637,558,228,False
39,,380.0,27.0,29,380.003310679,26.980059986,558,228,False
40,,370.0,26.0,29,370.019107384,25.9738762186,558,228,False
41,,361.0,26.0,29,360.990140623,25.971532439,558,228,False
42,,351.0,26.0,29,351.01334896,25.988493338,558,228,False
43,,342.0,27.0,29,341.987953705,26.9778320673,558,228,False
44,,333.0,29.0,29,332.994695588,28.973045732,558,228,False
45,,324.0,31.0,29,323.997983983,30.9890592264,558,228,False
46,,315.0,35.0,29,314.999246734,34.9602067441,558,228,False
47,,307.0,35.0,29,306.981882829,35.0548045869,558,228,False
48,,298.0,32.0,29,298.010230217,32.077267937,558,228,False
49,,288.0,29.0,29,288.022461998,29.031519097,558,228,False
50,,279.0,26.0,29,278.991428055,26.0118778239,558,228,False
51,,270.0,25.0,29,269.995994254,24.9687606214,558,228,False
52,,261.0,25.0,29,260.998468194,24.9688134567,558,228,False
53,,252.0,25.0,29,251.999427215,24.9874410579,558,228,False
54,,244.0,26.0,29,243.981950098,25.9774380061,558,228,False
55,,235.0,28.0,29,235.010255289,27.9728987703,558,228,False
56,,227.0,31.0,29,226.986798688,30.9711681197,558,228,False
57,,219.0,35.0,29,218.994265002,34.9705212225,558,228,False
58,,213.0,41.0,29,212.962150837,40.9524436975,558,228,False
59,,208.0,49.0,29,207.966347725,48.9448523633,558,228,False
60,,204.0,55.0,29,203.968685611,55.0133274197,558,228,False
61,,201.0,64.0,29,200.969593999,63.9530797672,558,228,False
62,,199.0,72.0,29,198.969934341,71.9978653529,558,228,False
63,,196.0,82.0,29,196.005733932,81.96426646,558,228,False
64,,195.0,91.0,29,194.967275128,91.0028459316,558,228,False
65,,194.0,99.0,29,193.986134614,99.0196705974,558,228,False
66,,217.0,115.0,29,216.566680458,114.86553149,558,228,False
67,,298.0,130.0,29,296.783498921,129.960931997,558,228,False
68,,350.0,132.0,29,350.013357947,132.217839836,558,228,False
69,,417.0,155.0,29,416.759770955,154.717750944,558,228,False
70,,486.0,153.0,29,485.863055855,153.32331712,558,228,False
71,,523.0,147.0,29,523.517452629,147.212357217,558,228,False
72,,532.0,121.0,29,532.719485028,121.440270928,558,228,False
73,,531.0,117.0,29,531.471727949,116.788978054,558,228,False
