frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,234.0,130.0,333,234.0,130.0,548,222,False
3,233.0,128.0,333,233.166666667,128.333333333,548,222,False
4,227.0,129.0,333,227.229813665,128.97515528,548,222,False
5,221.0,133.0,333,221.109490028,132.915941641,548,222,False
6,214.0,138.0,333,214.060733376,137.946318977,548,222,False
7,207.0,146.0,333,207.023604661,145.925172539,548,222,False
8,197.0,157.0,333,197.062385153,156.915943832,548,222,False
9,189.0,167.0,333,188.990141108,166.983820481,548,222,False
10,182.0,178.0,333,181.976904367,177.976858099,548,222,False
11,174.0,189.0,333,174.00829886,188.990555781,548,222,False
12,168.0,198.0,333,167.968229533,198.03211347,548,222,False
13,165.0,198.0,333,164.932981276,198.17420138,548,222,False
14,162.0,198.0,333,161.972380575,198.072691163,548,222,False
15,160.0,198.0,333,159.971743127,198.027464641,548,222,False
16,159.0,199.0,333,158.970772296,198.992417945,548,222,False
17,159.0,198.0,333,158.970375363,198.031993999,548,222,False
18,159.0,198.0,333,158.988062069,197.995754638,548,222,False
19,159.0,198.0,333,158.995507654,197.997643871,548,222,False
20,160.0,198.0,333,159.980487253,197.999084803,548,222,False
21,221.0,191.0,333,219.921693987,191.124511413,548,222,False
22,235.0,194.0,333,235.385151809,193.874018866,548,222,False
23,237.0,195.0,333,237.395252412,194.980467889,548,222,False
24,238.0,195.0,333,238.177198111,195.01186874,548,222,False
25,239.0,196.0,333,239.067474434,195.987503695,548,222,False
26,240.0,196.0,333,240.025217188,196.012369056,548,222,False
27,240.0,196.0,333,240.027238435,196.005424948,548,222,False
28,240.0,196.0,333,240.011005898,196.002060954,548,222,False
29,241.0,196.0,333,240.986306594,196.000770015,548,222,False
30,241.0,195.0,333,241.011880981,195.018123413,548,222,False
31,242.0,195.0,333,241.987404702,194.98977211,548,222,False
32,243.0,195.0,333,242.994490877,194.995375197,548,222,False
33,243.0,195.0,333,243.015744007,194.998237372,548,222,False
34,244.0,195.0,333,243.988883399,194.99934118,548,222,False
35,244.0,195.0,333,244.012880199,194.999754359,548,222,False
36,244.0,195.0,333,244.00561531,194.999908441,548,222,False
37,245.0,195.0,333,244.98429557,194.999965875,548,222,False
38,188.0,190.0,333,189.027802025,190.089168919,548,222,False
39,118.0,190.0,333,118.664415508,189.948320781,548,222,False
40,70.0,190.0,333,69.8687020955,189.976674803,548,222,False
41,54.0,184.0,333,53.362166768,184.098129845,548,222,False
