frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,321.0,12.0,86,318.0,11.3333333333,546,212,False
3,,328.0,20.0,86,327.627329193,19.6770186335,546,212,False
4,,332.0,24.0,86,331.94592424,23.9416410119,546,212,False
5,,347.0,24.0,86,346.781691925,24.054618221,546,212,False
6,,396.0,30.0,86,395.300063676,29.9165650409,546,212,False
7,,442.0,33.0,86,441.763031918,33.0174716633,546,212,False
8,,451.0,34.0,86,451.572820266,34.0445120479,546,212,False
9,,455.0,36.0,86,455.334321104,36.0005723252,546,212,False
10,,525.0,59.0,86,523.953189102,58.6248832985,546,212,False
11,,523.0,63.0,86,523.83799508,63.1811170918,546,212,False
12,,523.0,64.0,86,523.33543456,64.1363721827,546,212,False
13,,519.0,114.0,86,519.197472413,113.180143588,546,212,False
14,,460.0,169.0,86,461.058066156,168.563578619,546,212,False
15,,428.0,184.0,86,427.959888311,184.544530403,546,212,False
16,,397.0,177.0,86,396.946421867,177.629196748,546,212,False
17,,354.0,161.0,86,354.192217998,161.415436073,546,212,False
18,,318.0,108.0,86,317.95694255,108.82344169,546,212,False
19,,270.0,28.0,86,270.192498778,28.8204862171,546,212,False
20,,261.0,22.0,86,260.386110504,21.0104968234,546,212,False
21,,258.0,21.0,86,257.631364794,20.4800281242,546,212,False
22,,257.0,24.0,86,256.820239812,23.7276189968,546,212,False
23,,256.0,25.0,86,255.930973278,24.9303916482,546,212,False
24,,227.0,22.0,86,227.473592836,22.0469283727,546,212,False
25,,220.0,25.0,86,219.808011119,24.9139602777,546,212,False
26,,217.0,29.0,86,216.839462686,28.9451408795,546,212,False
27,,160.0,50.0,86,160.89906882,49.6752449396,546,212,False
28,,146.0,61.0,86,145.61402307,61.0427593857,546,212,False
29,,164.0,115.0,86,163.250870947,114.256813684,546,212,False
30,,176.0,129.0,86,175.798840848,129.400128245,546,212,False
31,,265.0,157.0,86,263.555362895,156.931829236,546,212,False
32,,300.0,172.0,86,300.359177982,172.196064833,546,212,False
33,,307.0,172.0,86,307.676243832,172.351219901,546,212,False
34,,297.0,190.0,86,297.581219312,189.823161732,546,212,False
35,,295.0,187.0,86,295.089691329,187.29392546,546,212,False
36,,345.0,167.0,86,344.099865668,167.429988072,546,212,False
37,,412.0,137.0,86,411.316612783,137.353960994,546,212,False
38,,426.0,133.0,86,426.673967998,132.677451602,546,212,False
39,,429.0,81.0,86,429.491839733,81.7141760418,546,212,False
40,,424.0,39.0,86,424.337522755,39.1277511282,546,212,False
41,,421.0,10.0,86,421.09750682,9.80911781034,546,212,False
42,,355.0,33.0,86,356.158676958,31.9899529492,546,212,False
43,,287.0,50.0,86,287.521238758,49.68562668,546,212,False
44,,205.0,56.0,86,205.448259654,56.0819990112,546,212,False
45,,189.0,63.0,86,188.002030149,63.0222572973,546,212,False
46,,105.0,75.0,86,105.785158361,74.9187165619,546,212,False
47,,75.0,78.0,86,74.3848528166,78.1259445494,546,212,False
48,,21.0,34.0,86,21.1553548049,34.8927257485,546,212,False
49,,15.0,24.0,86,14.2201658791,23.7667725257,546,212,False
50,,20.0,23.0,86,19.4730542654,22.7254615235,546,212,False
51,,17.0,6.0,86,16.9349822032,6.17407839797,546,212,False
52,,114.0,3.0,86,114.0,3.0,546,212,False
53,,131.0,9.0,86,128.166666667,8.0,546,212,False
54,,141.0,13.0,86,140.52173913,12.8136645963,546,212,False
55,,216.0,14.0,86,214.424976576,13.9945121135,546,212,False
56,,188.0,5.0,86,188.0,5.0,546,212,False
57,,320.0,102.0,86,298.0,85.8333333333,546,212,False
58,,348.0,155.0,86,348.0,155.0,546,212,False
59,,355.0,176.0,86,353.833333333,172.5,546,212,False
60,,323.0,172.0,86,324.149068323,172.01863354,546,212,False
61,,279.0,181.0,86,279.849150047,180.80444385,546,212,False
62,,264.0,180.0,86,263.807183216,180.100238358,546,212,False
63,,259.0,175.0,86,258.724503488,175.117346314,546,212,False
64,,231.0,189.0,86,231.298040303,188.708478745,546,212,False
65,,225.0,187.0,86,224.73783169,187.160704385,546,212,False
66,,224.0,187.0,86,223.795240875,187.037114318,546,212,False
67,,224.0,187.0,86,223.900724114,187.012742809,546,212,False
68,,119.0,138.0,86,119.0,138.0,546,212,False
69,,56.0,143.0,86,66.5,142.166666667,546,212,False
70,,10.0,144.0,86,12.1055900621,143.931677019,546,212,False
71,,9.0,158.0,86,8.84004818632,157.704189533,546,212,False
72,,19.0,182.0,86,18.6911059673,181.691637292,546,212,False
73,,20.0,184.0,86,20.0340433607,184.269556397,546,212,False
74,,20.0,184.0,86,20.0376788303,184.154576854,546,212,False
75,,20.0,184.0,86,20.0152395793,184.060203131,546,212,False
76,,114.0,150.0,86,114.0,150.0,546,212,False
77,,173.0,97.0,86,163.166666667,105.833333333,546,212,False
78,,253.0,119.0,86,253.0,119.0,546,212,False
79,,305.0,139.0,86,296.333333333,135.666666667,546,212,False
80,,359.0,169.0,86,356.664596273,167.757763975,546,212,False
81,,367.0,175.0,86,367.028911792,174.977780752,546,212,False
82,,336.0,103.0,86,336.771938671,104.446817094,546,212,False
83,,287.0,59.0,86,287.646847206,59.1079030311,546,212,False
84,,184.0,11.0,86,185.222027685,11.0909520572,546,212,False
85,,170.0,16.0,86,168.914854793,15.0909247359,546,212,False
86,,160.0,24.0,86,159.450476216,23.5625371761,546,212,False
87,,48.0,32.0,86,49.6075498076,31.8322306091,546,212,False
88,,35.0,33.0,86,33.9200926096,33.0620982048,546,212,False
89,,34.0,35.0,86,33.3031141579,35.0112727306,546,212,False
90,,13.0,30.0,86,13.0828985568,30.128487667,546,212,False
