frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,467.0,58.0,manual,467.0,58.0,540,207,False
3,467.0,58.0,manual,467.0,58.0,540,207,False
4,467.0,58.0,manual,467.0,58.0,540,207,False
5,467.0,58.0,manual,467.0,58.0,540,207,False
6,467.0,58.0,manual,467.0,58.0,540,207,False
7,467.0,58.0,manual,467.0,58.0,540,207,False
8,467.0,58.0,0,467.0,58.0,540,207,False
9,503.0,56.0,0,497.0,56.3333333333,540,207,False
10,507.0,57.0,0,506.627329193,56.9751552795,540,207,False
11,505.0,61.0,0,505.0752242,60.915941641,540,207,False
12,497.0,66.0,0,497.14911532,65.9463189769,540,207,False
13,492.0,69.0,0,492.007687029,69.0147324911,540,207,False
14,491.0,70.0,0,490.929184661,70.0428484607,540,207,False
15,489.0,70.0,0,488.987917389,70.0355960578,540,207,False
16,489.0,70.0,0,488.960508439,70.0142064123,540,207,False
17,488.0,69.0,0,488.001442878,69.0231762505,540,207,False
18,488.0,69.0,0,487.983474885,68.9916575242,540,207,False
19,489.0,69.0,0,488.975187961,68.9960780221,540,207,False
20,487.0,69.0,0,487.043368521,68.9984993312,540,207,False
21,488.0,70.0,0,487.96517309,69.9816024892,540,207,False
22,488.0,71.0,0,488.002415624,70.9922893174,540,207,False
23,487.0,71.0,0,487.019473452,71.0149215865,540,207,False
24,486.0,71.0,0,486.008146872,71.0064131083,540,207,False
25,486.0,71.0,0,485.985242671,71.0024310174,540,207,False
26,486.0,72.0,0,485.993648194,71.9830717001,540,207,False
27,485.0,72.0,0,485.015428162,72.0106734248,540,207,False
28,484.0,72.0,0,484.006601922,72.0047908656,540,207,False
29,482.0,72.0,0,482.020337719,72.0018245217,540,207,False
30,479.0,71.0,0,479.026272017,71.018518216,540,207,False
31,465.0,61.0,0,465.206886087,61.1682826197,540,207,False
32,453.0,57.0,0,453.050868919,56.9634264312,540,207,False
33,447.0,55.0,0,446.91068591,54.9459440393,540,207,False
34,439.0,53.0,0,438.997202475,52.9779179995,540,207,False
35,432.0,53.0,0,431.982580152,52.9560044682,540,207,False
36,431.0,53.0,0,430.885705659,52.981890642,540,207,False
37,430.0,52.0,0,429.952241886,52.0110047858,540,207,False
38,420.0,63.0,0,420.142479889,62.7909153608,540,207,False
39,406.0,87.0,0,406.132119968,86.6799966395,540,207,False
40,395.0,103.0,0,394.999515451,103.011835972,540,207,False
41,399.0,109.0,0,398.729894764,109.189048821,540,207,False
42,399.0,111.0,0,398.957755678,111.150642544,540,207,False
43,390.0,127.0,0,390.147577921,126.810275276,540,207,False
44,370.0,151.0,0,370.259019997,150.774829861,540,207,False
45,360.0,170.0,0,359.927940627,169.997865728,540,207,False
46,358.0,172.0,0,357.822383372,172.306336166,540,207,False
47,358.0,172.0,0,357.890912318,172.164546656,540,207,False
48,357.0,169.0,0,356.975125303,169.117248528,540,207,False
49,357.0,168.0,0,356.973647834,168.010703701,540,207,False
50,356.0,166.0,0,356.007197059,166.020246704,540,207,False
51,356.0,164.0,0,355.985660568,164.008324251,540,207,False
52,352.0,166.0,0,352.0651862,165.931794496,540,207,False
53,348.0,171.0,0,348.027671151,170.917657325,540,207,False
54,342.0,174.0,0,342.046147641,174.002258297,540,207,False
55,333.0,175.0,0,333.072423764,175.038091119,540,207,False
56,325.0,175.0,0,325.011799862,175.033816046,540,207,False
57,315.0,174.0,0,315.039343554,174.031378951,540,207,False
58,306.0,173.0,0,305.998499942,173.012593905,540,207,False
59,298.0,172.0,0,297.980831048,172.004736939,540,207,False
60,288.0,169.0,0,288.027637516,169.037440243,540,207,False
61,279.0,167.0,0,278.994129098,166.997825442,540,207,False
62,272.0,167.0,0,271.961365265,166.962744993,540,207,False
63,264.0,168.0,0,264.001692416,167.966534104,540,207,False
64,256.0,170.0,0,256.001400882,169.968753399,540,207,False
65,250.0,173.0,0,249.964886328,172.969619185,540,207,False
66,244.0,175.0,0,243.985207241,175.00561638,540,207,False
