frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
4,,401.0,177.0,215,401.0,177.0,531,203,False
5,,404.0,176.0,215,403.5,176.166666667,531,203,False
6,,407.0,173.0,215,406.869565217,173.118012422,531,203,False
7,,406.0,168.0,215,406.032793468,168.097577299,531,203,False
8,,405.0,164.0,215,405.016348077,164.020965191,531,203,False
9,,408.0,160.0,215,407.9346464,160.007077539,531,203,False
10,,413.0,157.0,215,412.936525743,156.984755919,531,203,False
11,,419.0,154.0,215,418.956632182,153.993462447,531,203,False
12,,426.0,151.0,215,425.96505637,150.997522394,531,203,False
13,,433.0,148.0,215,432.986077262,147.999074598,531,203,False
14,,440.0,144.0,215,439.994767774,144.017491326,531,203,False
15,,444.0,138.0,215,444.051556795,138.043045497,531,203,False
16,,444.0,132.0,215,444.093121898,132.017791682,531,203,False
17,,445.0,125.0,215,445.020408405,125.024551209,531,203,False
18,,448.0,116.0,215,447.971249564,116.04568083,531,203,False
19,,451.0,108.0,215,450.987544406,108.000937775,531,203,False
20,,454.0,100.0,215,453.995274348,99.9995796223,531,203,False
21,,458.0,92.0,215,457.980398365,91.9998064751,531,203,False
22,,462.0,85.0,215,461.99184042,84.9820897795,531,203,False
23,,467.0,79.0,215,466.979081616,78.974634615,531,203,False
24,,472.0,72.0,215,471.991347883,72.0074878493,531,203,False
25,,477.0,66.0,215,476.996734283,65.9857652657,531,203,False
26,,482.0,59.0,215,481.998780858,59.0117160635,531,203,False
27,,488.0,53.0,215,487.981709186,52.9873449977,531,203,False
28,,494.0,47.0,215,493.992329169,46.9944687087,531,203,False
29,,500.0,41.0,215,499.997100116,40.9978994212,531,203,False
30,,504.0,36.0,215,504.034589869,35.981378889,531,203,False
31,,509.0,31.0,215,508.996762872,30.9922059779,531,203,False
32,,512.0,27.0,215,512.033694259,26.9792178694,531,203,False
33,,515.0,22.0,215,515.014228547,22.0092349947,531,203,False
34,,517.0,19.0,215,517.023219452,18.9685819874,531,203,False
35,,518.0,16.0,215,518.027347958,15.9866217945,531,203,False
36,,517.0,16.0,215,517.046760248,15.9414249215,531,203,False
37,,517.0,15.0,215,517.001341863,14.9934399997,531,203,False
38,,518.0,14.0,215,517.981893989,13.9982858221,531,203,False
39,,518.0,15.0,215,518.010197541,14.9637234186,531,203,False
40,,518.0,15.0,215,518.004611729,15.0026100448,531,203,False
41,,517.0,16.0,215,517.019593998,15.983908421,531,203,False
42,1.0,517.022857143,16.12,215,517.042339175,16.1040003729,531,203,False
43,1.0,517.045714286,16.24,215,517.065084352,16.2240923248,531,203,False
44,1.0,517.068571429,16.36,215,517.087829529,16.3441842767,531,203,False
45,1.0,517.091428571,16.48,215,517.110574706,16.4642762286,531,203,False
46,1.0,517.114285714,16.6,215,517.133319884,16.5843681804,531,203,False
47,1.0,517.137142857,16.72,215,517.156065061,16.7044601323,531,203,False
48,1.0,517.16,16.84,215,517.178810238,16.8245520842,531,203,False
49,1.0,517.182857143,16.96,215,517.201555415,16.9446440361,531,203,False
50,1.0,517.205714286,17.08,215,517.224300592,17.064735988,531,203,False
51,1.0,517.228571429,17.2,215,517.247045769,17.1848279398,531,203,False
52,1.0,517.251428571,17.32,215,517.269790946,17.3049198917,531,203,False
53,1.0,517.274285714,17.44,215,517.292536124,17.4250118436,531,203,False
54,1.0,517.297142857,17.56,215,517.315281301,17.5451037955,531,203,False
55,1.0,517.32,17.68,215,517.338026478,17.6651957474,531,203,False
56,1.0,517.342857143,17.8,215,517.360771655,17.7852876992,531,203,False
57,1.0,517.365714286,17.92,215,517.383516832,17.9053796511,531,203,False
58,1.0,517.388571429,18.04,215,517.406262009,18.025471603,531,203,False
59,1.0,517.411428571,18.16,215,517.429007187,18.1455635549,531,203,False
60,1.0,517.434285714,18.28,215,517.451752364,18.2656555068,531,203,False
61,1.0,517.457142857,18.4,215,517.474497541,18.3857474586,531,203,False
62,1.0,517.48,18.52,215,517.497242718,18.5058394105,531,203,False
63,1.0,517.502857143,18.64,215,517.519987895,18.6259313624,531,203,False
64,1.0,517.525714286,18.76,215,517.542733072,18.7460233143,531,203,False
65,1.0,517.548571429,18.88,215,517.565478249,18.8661152662,531,203,False
66,1.0,517.571428571,19.0,215,517.588223427,18.986207218,531,203,False
67,1.0,517.594285714,19.12,215,517.610968604,19.1062991699,531,203,False
68,1.0,517.617142857,19.24,215,517.633713781,19.2263911218,531,203,False
69,1.0,517.64,19.36,215,517.656458958,19.3464830737,531,203,False
70,1.0,517.662857143,19.48,215,517.679204135,19.4665750256,531,203,False
71,1.0,517.685714286,19.6,215,517.701949312,19.5866669774,531,203,False
72,1.0,517.708571429,19.72,215,517.72469449,19.7067589293,531,203,False
73,1.0,517.731428571,19.84,215,517.747439667,19.8268508812,531,203,False
74,1.0,517.754285714,19.96,215,517.770184844,19.9469428331,531,203,False
75,1.0,517.777142857,20.08,215,517.792930021,20.067034785,531,203,False
76,1.0,517.8,20.2,215,517.815675198,20.1871267368,531,203,False
